# time 'Ca2+(a)' 'D(ser137~p,thr34~p,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'D(ser137~p,thr34~u,thr75~p!0),PP2A(ca!1,pSite~p!0),Ca2+(a!1)' 'D(ser137~p,thr34~u,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'D(ser137~u,thr34~p,thr75~p!0),PP2A(ca!1,pSite~p!0),Ca2+(a!1)' 'D(ser137~u,thr34~p,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'D(ser137~u,thr34~u,thr75~p!0),PP2A(ca!1,pSite~p!0),Ca2+(a!1)' 'D(ser137~u,thr34~u,thr75~p!0),PP2A(ca!1,pSite~u!0),Ca2+(a!1)' 'PP2A(ca!0,pSite~p),Ca2+(a!0)' 'PP2A(ca!0,pSite~u!1),Ca2+(a!0),PKA(a!1)' 'PP2A(ca!0,pSite~u),Ca2+(a!0)' 'PP2B(ca1!0,ca2!1,ca3,ca4,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1!0,ca2,ca3!1,ca4,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1!0,ca2,ca3,ca4!1,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1,ca2!0,ca3!1,ca4,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1,ca2!0,ca3,ca4!1,state~i),Ca2+(a!0),Ca2+(a!1)' 'PP2B(ca1,ca2,ca3!0,ca4!1,state~i),Ca2+(a!0),Ca2+(a!1)' 'D(ser137~p!0,thr34~p,thr75~p!1),PP2A(ca!2,pSite~u!1),Ca2+(a!2),PP2C(a!0)' 'D(ser137~p,thr34~u!0,thr75~p!1),PP2A(ca!2,pSite~u!1),Ca2+(a!2),PKA(a!0)' 'D(ser137~u!0,thr34~u,thr75~p!1),PP2A(ca!2,pSite~u!1),CK1(pSite~u!0),Ca2+(a!2)' 'D(ser137~u,thr34~u!0,thr75~p!1),PP2A(ca!2,pSite~p!1),Ca2+(a!2),PKA(a!0)' 'D(ser137~u,thr34~u!0,thr75~p!1),PP2A(ca!2,pSite~u!1),Ca2+(a!2),PKA(a!0)' 'PP2B(ca1!0,ca2!1,ca3!2,ca4!3,state~a),Ca2+(a!0),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),CK1(pSite~p!0),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~p,thr34~p!0,thr75~p),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~p,thr34~p!0,thr75~u),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~u,thr34~p!0,thr75~p),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!1,ca2!2,ca3!3,ca4!4,state~a!0),D(ser137~u,thr34~p!0,thr75~u),Ca2+(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!0),D(ser137~p,thr34~p!0,thr75~u!1),CDK5(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!0),D(ser137~u,thr34~p!0,thr75~u!1),CDK5(a!1),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!1),D(ser137~p!0,thr34~p!1,thr75~u),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5),PP2C(a!0)' 'PP2B(ca1!2,ca2!3,ca3!4,ca4!5,state~a!1),D(ser137~u!0,thr34~p!1,thr75~u),CK1(pSite~u!0),Ca2+(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5)' 'PP2B(ca1!3,ca2!4,ca3!5,ca4!6,state~a!1),D(ser137~u!0,thr34~p!1,thr75~u!2),CK1(pSite~u!0),CDK5(a!2),Ca2+(a!3),Ca2+(a!4),Ca2+(a!5),Ca2+(a!6)'
 3.000000E+01 10 0 0 0 0 0 0 0 0 0 0 14 8 13 16 21 14 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 0
 3.050000E+01 5 0 0 0 0 0 0 0 0 0 0 16 15 17 13 16 15 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0
 3.100000E+01 6 0 0 0 0 0 0 0 0 0 0 19 13 18 13 19 12 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0
 3.150000E+01 4 0 0 0 0 0 0 0 0 0 0 21 23 13 7 14 11 0 0 0 0 0 7 2 0 0 0 0 0 0 0 0 0
 3.200000E+01 10 0 0 0 0 0 0 0 0 0 0 20 16 15 13 15 15 0 0 0 0 0 4 2 0 0 0 0 0 0 0 0 0
 3.250000E+01 7 0 0 0 0 0 0 0 0 0 1 16 17 21 13 10 14 0 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0
 3.300000E+01 6 0 0 0 0 0 0 1 0 0 0 16 22 15 16 13 9 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0
 3.350000E+01 6 0 0 0 0 0 0 1 0 0 0 10 17 16 16 12 9 0 0 0 0 0 11 2 0 0 0 0 0 0 0 0 0
 3.400000E+01 4 0 0 0 0 0 0 1 0 0 0 11 18 17 17 18 10 0 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0
 3.450000E+01 9 0 0 0 0 0 0 0 0 0 0 18 14 15 13 16 10 0 0 0 0 0 9 2 0 0 0 0 0 0 0 0 0
 3.500000E+01 4 0 0 0 0 0 0 0 0 0 0 18 15 15 20 17 13 0 0 0 0 0 6 1 0 0 0 0 0 0 0 0 0
 3.550000E+01 8 0 0 0 0 0 0 0 0 0 0 17 14 13 12 10 16 0 0 0 0 0 13 2 0 0 0 0 0 0 0 0 0
 3.600000E+01 8 0 0 0 0 0 0 0 0 0 0 17 18 23 15 16 15 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0
 3.650000E+01 14 0 0 0 0 0 0 0 0 0 0 18 14 17 18 14 13 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0
 3.700000E+01 8 0 0 0 0 0 0 0 0 0 0 18 13 19 16 16 13 0 0 0 0 0 9 2 0 0 0 0 0 0 0 0 0
 3.750000E+01 8 0 0 0 0 0 0 0 0 0 0 17 15 19 17 14 19 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0
 3.800000E+01 8 0 0 0 0 0 0 0 0 0 0 16 16 16 15 16 22 0 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0
 3.850000E+01 7 0 0 0 0 0 0 0 0 0 0 16 10 14 17 12 19 0 0 0 0 0 13 1 0 0 0 0 0 0 0 0 0
 3.900000E+01 10 0 0 0 0 0 0 0 0 0 0 12 10 15 20 19 22 0 0 0 0 0 9 1 0 0 0 0 0 0 0 0 0
 3.950000E+01 6 0 0 0 0 0 0 0 0 0 0 21 11 15 23 20 20 0 0 0 0 0 4 1 0 0 0 0 0 0 0 0 0
 4.000000E+01 5 0 0 0 0 0 0 0 0 0 0 21 15 13 21 16 20 0 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0
 4.050000E+01 12 0 0 0 0 0 0 0 0 0 0 14 16 16 22 17 22 0 0 0 0 0 5 1 0 0 0 0 0 0 0 0 0
 4.100000E+01 12 0 0 0 0 0 0 0 0 0 0 14 23 13 23 19 19 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0
 4.150000E+01 14 0 0 0 0 0 0 0 0 0 0 19 17 20 17 19 11 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0
 4.200000E+01 7 0 0 0 0 0 0 0 0 0 0 12 21 18 19 11 17 0 0 0 0 0 10 2 0 0 0 0 0 0 0 0 0
 4.250000E+01 4 0 0 0 0 0 0 0 0 0 0 15 16 22 18 12 22 0 0 0 0 0 8 2 0 0 0 0 0 0 0 0 0
 4.300000E+01 12 0 0 0 0 0 0 0 0 0 0 20 17 14 12 10 17 0 0 0 0 0 13 2 0 0 0 0 0 0 0 0 0
 4.350000E+01 8 0 0 0 0 0 0 0 0 0 0 23 14 16 23 15 15 0 0 0 0 0 4 4 0 0 0 0 0 0 0 0 0
 4.400000E+01 7 0 0 0 0 0 0 0 0 0 0 20 19 15 21 18 15 0 0 0 0 0 6 2 0 0 0 0 0 0 0 0 0
 4.450000E+01 5 0 0 0 0 0 0 0 0 0 0 16 21 10 21 14 20 0 0 0 0 0 9 2 0 0 0 0 0 0 0 0 0
