# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 5.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 22 13 19 23 19 19
 5.500000E+01 9 0 0 0 0 0 0 0 0 0 0 0 22 16 18 24 16 18
 5.550000E+01 7 0 0 0 0 0 0 0 0 0 0 0 25 18 18 25 16 20
 5.600000E+01 7 0 0 0 0 0 0 0 0 0 0 0 12 21 20 16 15 22
 5.650000E+01 10 0 0 0 0 0 0 0 0 0 0 0 10 16 22 22 16 19
 5.700000E+01 5 0 0 0 0 0 0 0 0 0 0 0 18 16 19 26 16 22
 5.750000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 21 16 26 15 16
 5.800000E+01 8 0 0 0 0 0 0 0 0 0 0 0 16 22 16 15 25 14
 5.850000E+01 7 0 0 0 0 0 0 0 0 0 0 0 12 27 14 15 22 17
 5.900000E+01 13 0 0 0 0 0 0 0 0 0 0 0 19 22 12 15 18 20
 5.950000E+01 10 0 0 0 0 0 0 0 0 0 0 0 11 25 18 14 19 22
 6.000000E+01 9 0 0 0 0 0 0 0 0 1 0 0 13 27 19 16 14 18
 6.050000E+01 9 0 0 0 0 0 0 1 0 0 0 0 16 27 13 16 19 21
 6.100000E+01 9 0 0 0 0 0 0 1 0 0 0 0 18 18 16 13 24 23
 6.150000E+01 5 0 0 0 0 0 0 2 0 0 0 0 16 21 20 8 24 25
 6.200000E+01 6 0 0 0 0 0 0 0 0 1 0 0 9 18 15 9 20 20
 6.250000E+01 5 0 0 0 0 0 0 1 0 0 0 0 6 17 23 15 20 26
 6.300000E+01 14 0 0 0 0 0 0 1 0 1 0 0 18 10 22 15 14 21
 6.350000E+01 10 0 0 0 0 0 0 0 0 0 0 0 13 18 16 18 19 19
 6.400000E+01 12 0 0 0 0 0 0 0 0 0 0 0 14 19 19 16 21 17
 6.450000E+01 6 0 0 0 0 0 0 0 0 0 0 0 19 20 23 15 15 15
 6.500000E+01 4 0 0 0 0 0 0 1 0 0 0 0 19 18 23 15 21 12
 6.550000E+01 12 0 0 0 0 0 0 0 0 1 0 0 21 15 17 15 21 17
 6.600000E+01 8 0 0 0 0 0 0 1 0 0 0 0 18 15 18 17 17 19
 6.650000E+01 6 0 0 0 0 0 0 0 0 1 0 0 11 16 17 16 12 19
 6.700000E+01 6 0 0 0 0 0 0 0 0 0 0 0 17 20 24 15 13 20
 6.750000E+01 8 0 0 0 0 0 0 0 0 0 0 0 9 22 16 18 14 18
 6.800000E+01 14 0 0 0 0 0 0 0 0 0 0 0 11 13 24 23 22 13
 6.850000E+01 5 0 0 0 0 0 0 0 0 0 0 0 14 15 25 15 26 11
 6.900000E+01 5 0 0 0 0 0 0 0 0 0 0 0 12 15 32 24 20 15
 6.950000E+01 9 0 0 0 0 0 0 0 0 0 0 0 18 14 20 19 19 19
 7.000000E+01 4 0 0 0 0 0 0 0 0 0 0 0 21 16 18 19 23 16
 7.050000E+01 13 0 0 0 0 0 0 0 0 0 0 0 17 14 20 21 26 10
 7.100000E+01 14 0 0 0 0 0 0 0 0 0 0 0 22 19 19 19 17 17
 7.150000E+01 7 0 0 0 0 0 0 0 0 0 0 0 19 22 18 10 15 18
 7.200000E+01 7 0 0 0 0 0 0 0 0 0 0 0 18 15 18 21 16 17
 7.250000E+01 9 0 0 0 0 0 0 0 0 0 0 0 10 20 18 26 15 15
 7.300000E+01 9 0 0 0 0 0 0 0 0 0 0 0 17 22 18 21 16 16
 7.350000E+01 12 0 0 0 0 0 0 0 0 1 0 0 12 12 15 20 19 16
 7.400000E+01 13 0 0 0 0 0 0 0 0 1 0 0 19 15 17 21 18 27
 7.450000E+01 10 0 0 0 0 0 0 1 0 0 0 0 18 16 16 22 12 21
