,cAMP,Ca,PKA,_CDK5,CK1.ParticleNumber,PP2AP,_PP2C,PP2B.ParticleNumber,PDEP,D.ParticleNumber,D34,D75,D137
730,33.190897466,43.28206513,60.02715003,64.50494,35.83352,2.11573271,20.57809,43.9359678,375.00192762,1064.88,1027.13827951,677.995490842,166.96361
731,33.143465892,43.218635948,59.94853621,64.50684,35.73807,2.114266128,20.51748,43.7644355,374.82190305,1064.29,1029.46018258,677.165887292,166.13789
732,33.09614765,43.155947918,59.87021253,64.50883,35.64375,2.112799058,20.45756,43.59568469,374.64087854,1063.7,1031.76485213,676.341930932,165.32305
733,33.048950522,43.094001022,59.79215899,64.51072,35.55065,2.111329292,20.3983,43.42973536,374.45985409,1063.11,1034.04997684,675.525500871,164.52009
734,33.001867637,43.032874347,59.71427559,64.51259,35.45878,2.109849517,20.33969,43.26655742,374.27782969,1062.52,1036.31463883,674.714297699,163.72798
735,32.954896966,42.972377613,59.63659234,64.51444,35.368,2.108367153,20.28175,43.10604086,374.09580535,1061.93,1038.56191607,673.909720535,162.94674
736,32.908050517,42.912701989,59.55926922,64.51638,35.27846,2.106882789,20.22445,42.94817577,373.91378106,1061.34,1040.78961945,673.111379359,162.17534
737,32.861324302,42.853755434,59.48191623,64.51819,35.19014,2.105398494,20.16781,42.79285215,373.73075683,1060.76,1042.99674926,672.320135969,161.41481
738,32.8148133,42.795519578,59.40502337,64.51996,35.10292,2.103902198,20.11183,42.6400698,373.54673265,1060.18,1045.18645489,671.534318276,160.6651
739,32.76831241,42.737993819,59.32819065,64.5218,35.0168,2.102403899,20.05649,42.48980891,373.36270851,1059.59,1047.35657595,670.756497278,159.92622
740,32.721935734,42.681187907,59.25152805,64.5234,34.93179,2.100904367,20.0018,42.34206939,373.17868443,1059.02,1049.50605602,669.983682865,159.19718
741,32.67577228,42.625180722,59.17531557,64.52516,34.84798,2.099392602,19.94776,42.19674122,372.9936604,1058.44,1051.63695107,669.218073937,158.47894
742,32.62972904,42.569783322,59.09916322,64.52686,34.76526,2.097880732,19.89435,42.05381431,372.80763642,1057.87,1053.74729713,668.459342503,157.76952
743,32.583699912,42.515095646,59.02314099,64.52862,34.68362,2.096356626,19.84156,41.91316846,372.62161248,1057.29,1055.83899197,667.707477452,157.0709
744,32.537883087,42.461196706,58.94738888,64.53031,34.60307,2.094840096,19.7894,41.77490387,372.43458859,1056.73,1057.90992561,666.961427785,156.38206
745,32.492178385,42.40790656,58.87206688,64.53184,34.52361,2.09331322,19.73787,41.63891032,372.24756475,1056.16,1059.96012011,666.223325401,155.70301
