time, D, CDK5, D_CDK5, D75, CK1, D_CK1, D137, PKA, D_PKA, D34, D34_CDK5, D34_CK1, PP2B, D34_PP2B, D34_75, D34_137, D75CK1, D75_PKA, PP2A, D75_PP2A, PP2AP, D75_PP2AP, D75_137, D137_CDK5, D137_PKA, D137_PP2C, PP2C, D34_75_CK1, D34_137_CDK5, D34_75_137, D75_137_PKA, D34_75_PP2B, D34_137_PP2B, D34_75_137_PP2B, D34_75_PP2A, D75_137_PP2A, D34_75_137_PP2A, D34_75_PP2AP, D75_137_PP2AP, D34_75_137_PP2AP, D34_137_PP2C, D75_137_PP2C, PDE, PP2Binactive, D34_75_137_PP2C, CK1P, CK1P_PP2B, PDE_PKA, PDEP, PP2A_PKA, Ca, PP2BinactiveCa2, R2C2, cAMP, cAMP_R2C2, cAMP2_R2C2, cAMP3_R2C2, cAMP4_R2C2, cAMP4_R2C, cAMP4_R2, cAMP_PDE, AMP, cAMP_PDEP, PP2ACa, D34_75_PP2ACa, D34_75_137_PP2ACa, D75_PP2ACa, D75_137_PP2ACa, D34_75_PP2APCa, PP2APCa, D34_75_137_PP2APCa, D75_PP2APCa, D75_137_PP2APCa, PP2ACa_PKA, 
2.1, 3.90061e-06, 7.97059e-08, 1.11256e-07, 5.92812e-07, 2.82292e-08, 3.81924e-08, 2.65686e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 1.8432e-07, 1.32843e-08, 0, 0, 2.49081e-08, 8.3027e-09, 0, 1.82659e-08, 1.14577e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.15502e-07, 0, 9.46507e-08, 0, 0, 0, 0, 4.98162e-09, 1.66054e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.2, 3.89895e-06, 8.13664e-08, 1.04614e-07, 6.07757e-07, 3.32108e-08, 3.15502e-08, 2.64026e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.87641e-07, 1.16238e-08, 0, 0, 2.82292e-08, 1.32843e-08, 0, 1.66054e-08, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.17163e-07, 0, 9.79718e-08, 0, 0, 0, 0, 8.3027e-09, 1.49449e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.3, 3.86906e-06, 7.47243e-08, 1.19559e-07, 6.14399e-07, 2.65686e-08, 3.15502e-08, 2.72328e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64216e-09, 0, 1.8598e-07, 1.32843e-08, 0, 0, 2.65686e-08, 4.98162e-09, 0, 1.99265e-08, 1.11256e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.17163e-07, 0, 1.01293e-07, 0, 0, 0, 0, 1.16238e-08, 1.49449e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.4, 3.85245e-06, 7.47243e-08, 1.21219e-07, 6.26023e-07, 3.48713e-08, 2.32475e-08, 2.78971e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 0, 1.8598e-07, 1.16238e-08, 0, 0, 3.15502e-08, 3.32108e-09, 0, 2.32475e-08, 1.07935e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.12181e-07, 0, 1.02953e-07, 0, 0, 0, 0, 4.98162e-09, 1.99265e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.5, 3.84415e-06, 7.30637e-08, 1.2454e-07, 6.26023e-07, 2.98897e-08, 2.1587e-08, 2.80631e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.16238e-08, 0, 1.80999e-07, 1.82659e-08, 0, 0, 3.48713e-08, 1.66054e-09, 0, 1.49449e-08, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.10521e-07, 0, 1.02953e-07, 0, 0, 0, 0, 9.96323e-09, 2.1587e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.6, 3.81094e-06, 7.80453e-08, 1.14577e-07, 6.69197e-07, 2.82292e-08, 3.15502e-08, 2.80631e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.8598e-07, 1.16238e-08, 0, 0, 3.81924e-08, 6.64216e-09, 0, 1.16238e-08, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.10521e-07, 0, 1.02953e-07, 0, 0, 0, 0, 8.3027e-09, 2.1587e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.7, 3.80263e-06, 8.6348e-08, 1.12917e-07, 6.75839e-07, 3.65319e-08, 2.32475e-08, 2.88934e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 1.82659e-07, 1.66054e-08, 0, 0, 4.48346e-08, 0, 0, 1.16238e-08, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.10521e-07, 0, 1.02953e-07, 0, 0, 0, 0, 9.96323e-09, 2.1587e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.8, 3.77108e-06, 8.6348e-08, 1.11256e-07, 6.97426e-07, 2.32475e-08, 2.98897e-08, 2.73989e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8.3027e-09, 0, 1.8598e-07, 1.16238e-08, 0, 0, 4.81556e-08, 1.66054e-09, 0, 2.32475e-08, 1.07935e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.0886e-07, 0, 1.04614e-07, 0, 0, 0, 0, 8.3027e-09, 2.32475e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2.9, 3.72957e-06, 7.30637e-08, 1.19559e-07, 7.20674e-07, 1.99265e-08, 2.82292e-08, 2.88934e-07, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 6.64216e-09, 0, 1.8432e-07, 1.32843e-08, 0, 0, 4.81556e-08, 6.64216e-09, 0, 1.66054e-08, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 0, 1.99929e-06, 3.10521e-07, 0, 1.11256e-07, 0, 0, 0, 0, 6.64216e-09, 1.99265e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
3, 3.72293e-06, 7.47243e-08, 1.16238e-07, 7.30637e-07, 1.99265e-08, 2.49081e-08, 2.82292e-07, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 4.98162e-09, 0, 1.82659e-07, 1.66054e-08, 0, 0, 5.47978e-08, 8.3027e-09, 0, 1.66054e-08, 1.14577e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 3.10521e-07, 0, 1.16238e-07, 0, 0, 0, 0, 8.3027e-09, 1.99265e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
