# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6'
 5.950000E+01 4 0 0 0 0 0 0 0 0 2 0 0 23 15 17 14 19 13
 6.000000E+01 8 0 0 0 0 0 0 0 0 2 0 0 11 18 10 23 20 18
 6.050000E+01 2 0 0 0 0 0 0 1 0 0 0 0 8 18 17 23 22 14
 6.100000E+01 7 0 0 0 0 0 0 0 0 1 0 0 13 18 18 17 16 11
 6.150000E+01 3 0 0 0 0 0 0 1 0 0 0 0 15 18 16 20 21 12
 6.200000E+01 3 0 0 0 0 0 0 0 0 1 0 0 15 16 21 13 16 12
 6.250000E+01 9 0 0 0 0 0 0 0 0 0 0 0 18 16 23 14 14 20
 6.300000E+01 6 0 0 0 0 0 0 0 0 0 0 0 18 11 16 14 17 23
 6.350000E+01 5 0 0 0 0 0 0 0 0 0 0 0 14 19 18 13 23 22
 6.400000E+01 7 0 0 0 0 0 0 0 0 0 0 0 16 21 18 12 18 23
 6.450000E+01 10 0 0 0 0 0 0 0 0 0 0 0 22 12 18 14 15 20
 6.500000E+01 9 0 0 0 0 0 0 0 0 0 0 0 21 14 18 10 21 16
 6.550000E+01 6 0 0 0 0 0 0 0 0 0 0 0 14 13 16 14 18 16
 6.600000E+01 3 0 0 0 0 0 0 0 0 0 0 0 16 24 17 16 15 15
 6.650000E+01 12 0 0 0 0 0 0 0 0 0 0 0 14 17 19 16 24 12
 6.700000E+01 4 0 0 0 0 0 0 0 0 1 0 0 12 14 27 17 17 22
 6.750000E+01 11 0 0 0 0 0 0 1 0 0 0 0 13 20 21 19 9 15
 6.800000E+01 9 0 0 0 0 0 0 1 0 0 0 0 18 23 24 20 8 12
 6.850000E+01 5 0 0 0 0 0 0 1 0 0 0 0 22 24 16 19 12 15
 6.900000E+01 7 0 0 0 0 0 0 0 0 1 0 0 17 23 13 17 13 16
 6.950000E+01 10 0 0 0 0 0 0 1 0 1 0 0 11 31 18 14 15 14
 7.000000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 28 17 22 16 6
 7.050000E+01 9 0 0 0 0 0 0 0 0 0 0 0 22 18 20 18 14 17
 7.100000E+01 4 0 0 0 0 0 0 0 0 0 0 0 20 24 20 14 21 15
 7.150000E+01 13 0 0 0 0 0 0 0 0 0 0 0 19 25 18 15 13 18
 7.200000E+01 8 0 0 0 0 0 0 0 0 0 0 0 18 18 25 13 11 22
 7.250000E+01 6 0 0 0 0 0 0 0 0 1 0 0 20 19 25 12 10 19
 7.300000E+01 11 0 0 0 0 0 0 0 0 0 0 0 24 18 22 13 10 22
 7.350000E+01 10 0 0 0 0 0 0 0 0 0 0 0 19 18 19 18 19 12
 7.400000E+01 7 0 0 0 0 0 0 0 0 0 0 0 16 15 22 16 18 16
 7.450000E+01 11 0 0 0 0 0 0 0 0 0 0 0 19 17 26 20 11 18
 7.500000E+01 12 0 0 0 0 0 0 0 0 0 0 0 19 17 21 19 11 18
 7.550000E+01 6 0 0 0 0 0 0 0 0 0 0 0 17 21 25 18 14 20
 7.600000E+01 10 0 0 0 0 0 0 0 0 0 0 0 19 22 22 13 19 14
 7.650000E+01 9 0 0 0 0 0 0 0 0 0 0 0 12 27 18 20 18 11
