Time	CDK5(a!1), D(s!1, thr34~u, ser137~p, thr75~u).ParticleNumber	CDK5(a!1), D(s!1, thr34~u, ser137~u, thr75~u).ParticleNumber	CDK5(a).ParticleNumber	CK1(pSite~p).ParticleNumber	CK1(pSite~u).ParticleNumber	Ca2+(a!1), CK1(pSite~p!2), PP2B(ca1!1, ca2!3, ca3!4, ca4!5, state~a!2), Ca2+(a!5), Ca2+(a!4), Ca2+(a!3).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~p, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~u, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), PP2A(ca!1, pSite~u).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!1, ca3, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!3, ca3!4, ca4!1, state~a), Ca2+(a!4), Ca2+(a!3), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2, ca3!2, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~u), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), CK1(pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~u), CK1(pSite~u!1).ParticleNumber	D(s, thr34~u, ser137~p, thr75~p).ParticleNumber	D(s, thr34~u, ser137~p, thr75~u).ParticleNumber	D(s, thr34~u, ser137~u, thr75~p).ParticleNumber	D(s, thr34~u, ser137~u, thr75~u).ParticleNumber	PDE(pSite~u).ParticleNumber	PP2A(ca, pSite~u).ParticleNumber	PP2B(ca1, ca2, ca3, ca4, state~i).ParticleNumber	PP2C(a).ParticleNumber	R2C2(camp1, camp2, camp3, camp4, pka1~off, pka2~off).ParticleNumber
409.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
410	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
410.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
411	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
411.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
412	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
412.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
413	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
413.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
414	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
414.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
415	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
415.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
416	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
416.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
417	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
417.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
418	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
418.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
419	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
419.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
420	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
420.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
421	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
421.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
422	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
422.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
423	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
423.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
424	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
424.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
425	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
425.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
426	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
426.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
427	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
427.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
428	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
428.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
429	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
429.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
430	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
430.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
431	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
431.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
432	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
432.5	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
433	2.71999e+24	3.6017e+25	3.35287e+25	4.70768e+25	5.30658e+24	8.8443e+23	4.20103e+21	5.56282e+22	1.51322e+23	1.05785e+25	6.81315e+24	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	1.05785e+25	5.31365e+24	8.11797e+23	2.4747e+24	4.47888e+24	2.4747e+24	1.07495e+25	4.47888e+24	4.3541e+25	7.88035e+25	5.76551e+26	1.04348e+27	7.25066e+26	6.04933e+25	4.92743e+25	4.12235e+25	2.40886e+27
