Time	CDK5(a!1), D(s!1, thr34~u, ser137~p, thr75~u).ParticleNumber	CDK5(a!1), D(s!1, thr34~u, ser137~u, thr75~u).ParticleNumber	CDK5(a).ParticleNumber	CK1(pSite~p).ParticleNumber	CK1(pSite~u).ParticleNumber	Ca2+(a!1), CK1(pSite~p!2), PP2B(ca1!1, ca2!3, ca3!4, ca4!5, state~a!2), Ca2+(a!5), Ca2+(a!4), Ca2+(a!3).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~p, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), D(s!2, thr34~u, ser137~u, thr75~p), PP2A(ca!1, pSite~u!2).ParticleNumber	Ca2+(a!1), PP2A(ca!1, pSite~u).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!1, ca3, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2!3, ca3!4, ca4!1, state~a), Ca2+(a!4), Ca2+(a!3), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1!2, ca2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3!1, ca4, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2!2, ca3, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a!1), PP2B(ca1, ca2, ca3!2, ca4!1, state~i), Ca2+(a!2).ParticleNumber	Ca2+(a).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~p), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~p, thr75~u), PP2C(a!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), CK1(pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~p), PP2A(ca, pSite~u!1).ParticleNumber	D(s!1, thr34~u, ser137~u, thr75~u), CK1(pSite~u!1).ParticleNumber	D(s, thr34~u, ser137~p, thr75~p).ParticleNumber	D(s, thr34~u, ser137~p, thr75~u).ParticleNumber	D(s, thr34~u, ser137~u, thr75~p).ParticleNumber	D(s, thr34~u, ser137~u, thr75~u).ParticleNumber	PDE(pSite~u).ParticleNumber	PP2A(ca, pSite~u).ParticleNumber	PP2B(ca1, ca2, ca3, ca4, state~i).ParticleNumber	PP2C(a).ParticleNumber	R2C2(camp1, camp2, camp3, camp4, pka1~off, pka2~off).ParticleNumber
10	1.61336e+24	3.84226e+25	3.22297e+25	5.82679e+25	7.80764e+23	1.05375e+23	1.00917e+21	2.43288e+22	7.31876e+22	4.42445e+24	6.59566e+23	4.42445e+24	4.42445e+24	4.42445e+24	4.42445e+24	4.42445e+24	2.59753e+24	4.11317e+23	1.31126e+24	2.94384e+24	3.31508e+23	9.95536e+24	7.35911e+23	2.15316e+25	4.81954e+25	5.23153e+26	1.15801e+27	7.25066e+26	6.18005e+25	9.31311e+25	4.3922e+25	2.40886e+27
10.5	1.50997e+24	3.84159e+25	3.23398e+25	5.83131e+25	7.57845e+23	1.14438e+23	9.81086e+20	2.52467e+22	7.46914e+22	4.58822e+24	7.15492e+23	4.58822e+24	4.58822e+24	4.58822e+24	4.58822e+24	4.58822e+24	2.65441e+24	3.90944e+23	1.25587e+24	2.76071e+24	3.2628e+23	1.01002e+25	7.0976e+23	2.05057e+25	4.49562e+25	5.31805e+26	1.15388e+27	7.25066e+26	6.16736e+25	9.20836e+25	4.41606e+25	2.40886e+27
11	1.41425e+24	3.84115e+25	3.24399e+25	5.83231e+25	7.49683e+23	1.23668e+23	9.5195e+20	2.61326e+22	7.61639e+22	4.7476e+24	7.72829e+23	4.7476e+24	4.7476e+24	4.7476e+24	4.7476e+24	4.7476e+24	2.70989e+24	3.71265e+23	1.20108e+24	2.59085e+24	3.26834e+23	1.02317e+25	6.98163e+23	1.9509e+25	4.19819e+25	5.39683e+26	1.1502e+27	7.25066e+26	6.15595e+25	9.10607e+25	4.43852e+25	2.40886e+27
11.5	1.32618e+24	3.84087e+25	3.25308e+25	5.8304e+25	7.5363e+23	1.33049e+23	9.22584e+20	2.69876e+22	7.7607e+22	4.90273e+24	8.31489e+23	4.90273e+24	4.90273e+24	4.90273e+24	4.90273e+24	4.90273e+24	2.76403e+24	3.52503e+23	1.14777e+24	2.4342e+24	3.32318e+23	1.0351e+25	6.98403e+23	1.85542e+25	3.92649e+25	5.46845e+26	1.1469e+27	7.25066e+26	6.14567e+25	9.00619e+25	4.45952e+25	2.40886e+27
12	1.24562e+24	3.84066e+25	3.26135e+25	5.8261e+25	7.67533e+23	1.42565e+23	8.93674e+20	2.78126e+22	7.90227e+22	5.05372e+24	8.91386e+23	5.05372e+24	5.05372e+24	5.05372e+24	5.05372e+24	5.05372e+24	2.81692e+24	3.34822e+23	1.09664e+24	2.29054e+24	3.41991e+23	1.0459e+25	7.08298e+23	1.76508e+25	3.67956e+25	5.53349e+26	1.14393e+27	7.25066e+26	6.13641e+25	8.90865e+25	4.47899e+25	2.40886e+27
12.5	1.17237e+24	3.84048e+25	3.26885e+25	5.81983e+25	7.89644e+23	1.522e+23	8.65787e+20	2.86089e+22	8.04123e+22	5.20069e+24	9.52437e+23	5.20069e+24	5.20069e+24	5.20069e+24	5.20069e+24	5.20069e+24	2.8686e+24	3.18336e+23	1.04822e+24	2.15955e+24	3.55219e+23	1.05568e+25	7.26093e+23	1.68058e+25	3.45629e+25	5.59247e+26	1.14126e+27	7.25066e+26	6.12807e+25	8.81341e+25	4.49694e+25	2.40886e+27
13	1.10617e+24	3.84029e+25	3.27566e+25	5.81191e+25	8.18532e+23	1.61942e+23	8.39387e+20	2.93774e+22	8.17771e+22	5.34374e+24	1.01456e+24	5.34374e+24	5.34374e+24	5.34374e+24	5.34374e+24	5.34374e+24	2.91913e+24	3.03118e+23	1.00292e+24	2.04082e+24	3.71455e+23	1.06451e+25	7.50368e+23	1.60237e+25	3.2555e+25	5.64588e+26	1.13882e+27	7.25066e+26	6.12055e+25	8.72039e+25	4.51334e+25	2.40886e+27
13.5	1.0467e+24	3.84005e+25	3.28185e+25	5.80264e+25	8.53031e+23	1.71775e+23	8.14845e+20	3.01192e+22	8.31182e+22	5.48299e+24	1.07768e+24	5.48299e+24	5.48299e+24	5.48299e+24	5.48299e+24	5.48299e+24	2.96856e+24	2.89209e+23	9.61023e+23	1.93387e+24	3.9023e+23	1.07247e+25	7.79971e+23	1.53075e+25	3.07595e+25	5.69416e+26	1.1366e+27	7.25066e+26	6.11377e+25	8.62954e+25	4.52822e+25	2.40886e+27
14	9.93656e+23	3.83973e+25	3.28747e+25	5.79224e+25	8.92179e+23	1.81689e+23	7.92449e+20	3.08355e+22	8.44363e+22	5.61853e+24	1.14171e+24	5.61853e+24	5.61853e+24	5.61853e+24	5.61853e+24	5.61853e+24	3.01693e+24	2.76623e+23	9.22713e+23	1.83819e+24	4.11144e+23	1.07965e+25	8.1396e+23	1.46583e+25	2.91641e+25	5.73774e+26	1.13456e+27	7.25066e+26	6.10765e+25	8.54082e+25	4.54162e+25	2.40886e+27
14.5	9.46683e+23	3.83933e+25	3.29257e+25	5.78091e+25	9.35187e+23	1.91669e+23	7.7242e+20	3.15271e+22	8.57322e+22	5.75047e+24	1.20658e+24	5.75047e+24	5.75047e+24	5.75047e+24	5.75047e+24	5.75047e+24	3.06427e+24	2.65352e+23	8.88097e+23	1.75322e+24	4.33855e+23	1.0861e+25	8.51568e+23	1.40763e+25	2.77563e+25	5.77701e+26	1.13268e+27	7.25066e+26	6.10213e+25	8.45417e+25	4.55358e+25	2.40886e+27
15	9.05439e+23	3.83882e+25	3.2972e+25	5.76881e+25	9.81401e+23	2.01705e+23	7.54917e+20	3.21952e+22	8.70066e+22	5.87891e+24	1.27222e+24	5.87891e+24	5.87891e+24	5.87891e+24	5.87891e+24	5.87891e+24	3.11064e+24	2.55373e+23	8.57209e+23	1.67841e+24	4.58071e+23	1.09189e+25	8.92162e+23	1.35607e+25	2.6524e+25	5.81233e+26	1.13094e+27	7.25066e+26	6.09715e+25	8.36954e+25	4.56415e+25	2.40886e+27
15.5	8.69578e+23	3.8382e+25	3.30141e+25	5.75606e+25	1.03028e+24	2.11784e+23	7.40046e+20	3.28407e+22	8.826e+22	6.00393e+24	1.33856e+24	6.00393e+24	6.00393e+24	6.00393e+24	6.00393e+24	6.00393e+24	3.15605e+24	2.4665e+23	8.3003e+23	1.61317e+24	4.83539e+23	1.09707e+25	9.3522e+23	1.31101e+25	2.54555e+25	5.84403e+26	1.12931e+27	7.25066e+26	6.09265e+25	8.28689e+25	4.57339e+25	2.40886e+27
16	8.38761e+23	3.83746e+25	3.30523e+25	5.74278e+25	1.08137e+24	2.21896e+23	7.27873e+20	3.34645e+22	8.94929e+22	6.12562e+24	1.40553e+24	6.12562e+24	6.12562e+24	6.12562e+24	6.12562e+24	6.12562e+24	3.20055e+24	2.39139e+23	8.06495e+23	1.55695e+24	5.10047e+23	1.1017e+25	9.80307e+23	1.27223e+25	2.45395e+25	5.87242e+26	1.12778e+27	7.25066e+26	6.08859e+25	8.20617e+25	4.58137e+25	2.40886e+27
16.5	8.12655e+23	3.8366e+25	3.3087e+25	5.72906e+25	1.13429e+24	2.32031e+23	7.18426e+20	3.40676e+22	9.07057e+22	6.24408e+24	1.47305e+24	6.24408e+24	6.24408e+24	6.24408e+24	6.24408e+24	6.24408e+24	3.24415e+24	2.32788e+23	7.86506e+23	1.50917e+24	5.3741e+23	1.10582e+25	1.02706e+24	1.23948e+25	2.37651e+25	5.89778e+26	1.12634e+27	7.25066e+26	6.08492e+25	8.12733e+25	4.58815e+25	2.40886e+27
17	7.90942e+23	3.83561e+25	3.31186e+25	5.71499e+25	1.18873e+24	2.42177e+23	7.11702e+20	3.46509e+22	9.18988e+22	6.35939e+24	1.54107e+24	6.35939e+24	6.35939e+24	6.35939e+24	6.35939e+24	6.35939e+24	3.28689e+24	2.27542e+23	7.69936e+23	1.46928e+24	5.65469e+23	1.10948e+25	1.07518e+24	1.2125e+25	2.31222e+25	5.92038e+26	1.12497e+27	7.25066e+26	6.08161e+25	8.05032e+25	4.59379e+25	2.40886e+27
17.5	7.73313e+23	3.83451e+25	3.31473e+25	5.70062e+25	1.24441e+24	2.52326e+23	7.07677e+20	3.52152e+22	9.30725e+22	6.47163e+24	1.60952e+24	6.47163e+24	6.47163e+24	6.47163e+24	6.47163e+24	6.47163e+24	3.32879e+24	2.23341e+23	7.56642e+23	1.43674e+24	5.94088e+23	1.11272e+25	1.1244e+24	1.191e+25	2.26009e+25	5.94046e+26	1.12367e+27	7.25066e+26	6.07862e+25	7.97512e+25	4.59837e+25	2.40886e+27
18	7.59475e+23	3.83328e+25	3.31734e+25	5.68602e+25	1.3011e+24	2.62469e+23	7.06305e+20	3.57613e+22	9.42272e+22	6.58088e+24	1.67833e+24	6.58088e+24	6.58088e+24	6.58088e+24	6.58088e+24	6.58088e+24	3.36987e+24	2.20127e+23	7.46462e+23	1.41105e+24	6.23146e+23	1.11558e+25	1.1745e+24	1.17466e+25	2.21921e+25	5.95825e+26	1.12242e+27	7.25066e+26	6.07591e+25	7.90168e+25	4.60196e+25	2.40886e+27
18.5	7.4915e+23	3.83193e+25	3.31972e+25	5.67124e+25	1.3586e+24	2.72596e+23	7.07522e+20	3.629e+22	9.53631e+22	6.68721e+24	1.74746e+24	6.68721e+24	6.68721e+24	6.68721e+24	6.68721e+24	6.68721e+24	3.41016e+24	2.17839e+23	7.39231e+23	1.3917e+24	6.52544e+23	1.11808e+25	1.22531e+24	1.16319e+25	2.18873e+25	5.97393e+26	1.12122e+27	7.25066e+26	6.07347e+25	7.82995e+25	4.60462e+25	2.40886e+27
19	7.42076e+23	3.83047e+25	3.32189e+25	5.65631e+25	1.41675e+24	2.82699e+23	7.11254e+20	3.6802e+22	9.64804e+22	6.79072e+24	1.81683e+24	6.79072e+24	6.79072e+24	6.79072e+24	6.79072e+24	6.79072e+24	3.44967e+24	2.16418e+23	7.34773e+23	1.37822e+24	6.82191e+23	1.12027e+25	1.27665e+24	1.15629e+25	2.16784e+25	5.9877e+26	1.12006e+27	7.25066e+26	6.07126e+25	7.7599e+25	4.60641e+25	2.40886e+27
