time, D, CDK5, D_CDK5, D75, CK1, D_CK1, D137, PKA, D_PKA, D34, D34_CDK5, D34_CK1, PP2B, D34_PP2B, D34_75, D34_137, D75CK1, D75_PKA, PP2A, D75_PP2A, PP2AP, D75_PP2AP, D75_137, D137_CDK5, D137_PKA, D137_PP2C, PP2C, D34_75_CK1, D34_137_CDK5, D34_75_137, D75_137_PKA, D34_75_PP2B, D34_137_PP2B, D34_75_137_PP2B, D34_75_PP2A, D75_137_PP2A, D34_75_137_PP2A, D34_75_PP2AP, D75_137_PP2AP, D34_75_137_PP2AP, D34_137_PP2C, D75_137_PP2C, PDE, PP2Binactive, D34_75_137_PP2C, CK1P, CK1P_PP2B, PDE_PKA, PDEP, PP2A_PKA, Ca, PP2BinactiveCa2, R2C2, cAMP, cAMP_R2C2, cAMP2_R2C2, cAMP3_R2C2, cAMP4_R2C2, cAMP4_R2C, cAMP4_R2, cAMP_PDE, AMP, cAMP_PDEP, PP2ACa, D34_75_PP2ACa, D34_75_137_PP2ACa, D75_PP2ACa, D75_137_PP2ACa, D34_75_PP2APCa, PP2APCa, D34_75_137_PP2APCa, D75_PP2APCa, D75_137_PP2APCa, PP2ACa_PKA, 
10, 3.14838e-06, 1.02953e-07, 9.46507e-08, 1.42972e-06, 6.64216e-09, 8.3027e-09, 1.64393e-07, 0, 0, 0, 0, 0, 1.32843e-08, 0, 0, 0, 3.32108e-09, 0, 1.64393e-07, 3.15502e-08, 0, 0, 8.46875e-08, 1.66054e-09, 0, 4.98162e-09, 1.2288e-07, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 0, 0, 0, 0, 4.98162e-09, 1.99929e-06, 2.90594e-07, 0, 1.47788e-07, 0, 0, 0, 0, 9.96323e-09, 2.82292e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
10.5, 3.14174e-06, 1.04614e-07, 9.29902e-08, 1.45131e-06, 3.32108e-09, 1.32843e-08, 1.72696e-07, 0, 0, 0, 0, 0, 1.49449e-08, 0, 0, 0, 3.32108e-09, 0, 1.8598e-07, 1.32843e-08, 0, 0, 7.80453e-08, 1.66054e-09, 0, 4.98162e-09, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64216e-09, 1.99929e-06, 2.88934e-07, 0, 1.46127e-07, 0, 0, 0, 0, 6.64216e-09, 2.82292e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11, 3.13676e-06, 9.63113e-08, 9.29902e-08, 1.44135e-06, 6.64216e-09, 8.3027e-09, 1.56091e-07, 0, 0, 0, 0, 0, 9.96323e-09, 0, 0, 0, 3.32108e-09, 0, 1.64393e-07, 3.32108e-08, 0, 0, 7.97059e-08, 9.96323e-09, 0, 9.96323e-09, 1.16238e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 6.64216e-09, 1.99929e-06, 2.87273e-07, 0, 1.42806e-07, 4.98162e-09, 0, 0, 0, 6.64216e-09, 2.98897e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
11.5, 3.13178e-06, 8.6348e-08, 1.07935e-07, 1.44965e-06, 1.49449e-08, 3.32108e-09, 1.49449e-07, 0, 0, 0, 0, 0, 9.96323e-09, 0, 0, 0, 3.32108e-09, 0, 1.74357e-07, 2.32475e-08, 0, 0, 9.13296e-08, 4.98162e-09, 0, 6.64216e-09, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 0, 0, 0, 0, 0, 6.64216e-09, 1.99929e-06, 2.82292e-07, 0, 1.42806e-07, 1.66054e-09, 0, 0, 0, 1.49449e-08, 3.81924e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12, 3.06702e-06, 8.3027e-08, 1.12917e-07, 1.49947e-06, 1.16238e-08, 8.3027e-09, 1.47788e-07, 0, 0, 0, 0, 0, 9.96323e-09, 0, 0, 0, 3.32108e-09, 0, 1.67714e-07, 3.15502e-08, 0, 0, 9.29902e-08, 3.32108e-09, 0, 8.3027e-09, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4.98162e-09, 1.99929e-06, 2.75649e-07, 0, 1.41146e-07, 1.66054e-09, 0, 0, 0, 1.32843e-08, 4.48346e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
12.5, 3.07698e-06, 9.79718e-08, 9.46507e-08, 1.50611e-06, 8.3027e-09, 1.16238e-08, 1.5277e-07, 0, 0, 0, 0, 0, 1.16238e-08, 0, 0, 0, 4.98162e-09, 0, 1.74357e-07, 2.49081e-08, 0, 0, 9.13296e-08, 6.64216e-09, 0, 9.96323e-09, 1.2288e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.99929e-06, 2.72328e-07, 0, 1.39485e-07, 1.66054e-09, 0, 0, 0, 8.3027e-09, 4.64951e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13, 3.04543e-06, 9.79718e-08, 9.46507e-08, 1.53766e-06, 6.64216e-09, 1.16238e-08, 1.5443e-07, 0, 0, 0, 0, 0, 1.49449e-08, 0, 0, 0, 4.98162e-09, 0, 1.72696e-07, 2.65686e-08, 0, 0, 8.6348e-08, 6.64216e-09, 0, 9.96323e-09, 1.21219e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.66054e-09, 1.99929e-06, 2.72328e-07, 0, 1.41146e-07, 1.66054e-09, 0, 0, 0, 8.3027e-09, 4.3174e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
13.5, 3.01388e-06, 9.13296e-08, 1.02953e-07, 1.55094e-06, 1.49449e-08, 9.96323e-09, 1.66054e-07, 0, 0, 0, 0, 0, 1.82659e-08, 0, 0, 0, 0, 0, 1.67714e-07, 2.82292e-08, 0, 0, 8.6348e-08, 4.98162e-09, 0, 9.96323e-09, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 0, 0, 0, 0, 0, 3.32108e-09, 1.99929e-06, 2.78971e-07, 0, 1.39485e-07, 1.66054e-09, 0, 0, 0, 1.66054e-08, 3.32108e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14, 2.99727e-06, 9.46507e-08, 1.01293e-07, 1.57419e-06, 9.96323e-09, 1.16238e-08, 1.57751e-07, 0, 0, 0, 0, 0, 1.66054e-08, 0, 0, 0, 1.66054e-09, 0, 1.76017e-07, 2.32475e-08, 0, 0, 9.46507e-08, 3.32108e-09, 0, 8.3027e-09, 1.17898e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.64216e-09, 1.99929e-06, 2.69007e-07, 0, 1.41146e-07, 1.66054e-09, 0, 0, 0, 8.3027e-09, 4.48346e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
14.5, 3.00558e-06, 9.63113e-08, 1.01293e-07, 1.5526e-06, 9.96323e-09, 1.32843e-08, 1.69375e-07, 0, 0, 0, 0, 0, 1.82659e-08, 0, 0, 0, 1.66054e-09, 0, 1.64393e-07, 3.48713e-08, 0, 0, 8.6348e-08, 1.66054e-09, 0, 9.96323e-09, 1.19559e-07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.32108e-09, 1.99929e-06, 2.67347e-07, 0, 1.37825e-07, 3.32108e-09, 0, 0, 0, 9.96323e-09, 4.3174e-08, 6.6405e-06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
