Time	[Ca]	[cAMP]	Ca.ParticleNumber	cAMP.ParticleNumber
187	-85.5906	12
187.5	1.62679	9
188	-55.4863	11
188.5	-1.28389	9
189	-192.989	15
189.5	4.91502	9
190	22.9639	8
190.5	4.69518	9
191	-82.7403	12
191.5	49.9073	7
192	-246.509	16
192.5	52.7872	7
193	68.5927	6
193.5	79.2176	6
194	85.8438	5
194.5	-28.9003	10
195	86.9585	5
195.5	-4.91595	9
196	44.7296	7
196.5	28.5387	8
197	-18.8973	10
197.5	-115.254	13
198	-22.9236	10
198.5	33.5548	8
199	-48.8338	11
199.5	58.9789	7
200	49.9444	7
200.5	18.5198	8
201	35.7532	7
201.5	-134.107	13
202	-71.395	11
202.5	1.6805	8
203	16.4832	7
203.5	-83.3947	11
204	-1.93468	8
204.5	12.2982	7
205	-9.36771	8
205.5	50.2274	5
206	10.4902	7
206.5	29.3893	6
207	75.2899	3
207.5	-27.1949	9
208	35.2094	6
208.5	-5.1165	8
209	-61.9109	10
209.5	52.8172	5
210	-176.794	14
210.5	27.3853	6
211	-102.85	12
211.5	-4.7741	8
212	4.23121	8
212.5	-32.2938	9
213	9.16918	7
213.5	-82.4421	11
214	21.1542	6
214.5	15.1602	6
215	-97.235	12
215.5	59.7866	4
216	-236.076	16
216.5	-30.5363	9
217	-54.2465	10
217.5	24.2495	7
218	-185.755	14
218.5	-52.0142	10
219	-1.03329	8
219.5	38.6526	5
220	-22.974	9
220.5	-70.4406	11
221	-70.446	11
221.5	3.07634	8
222	-32.7583	10
222.5	-170.965	14
223	50.6079	6
223.5	9.14307	8
224	84.1926	3
224.5	-188.633	15
225	1.66456	8
225.5	-64.7822	11
226	-70.4531	11
226.5	-35.858	10
227	-61.4474	11
227.5	-114.258	13
228	-20.3021	9
228.5	7.91842	8
229	9.43194	8
229.5	-34.4222	10
230	-34.6416	10
230.5	27.892	7
231	20.5847	7
231.5	-117.108	13
232	-37.3493	10
232.5	46.3534	6
233	8.34092	8
233.5	30.0186	7
234	-40.632	10
234.5	55.2606	5
235	42.8433	7
235.5	-52.7912	11
236	6.72871	8
236.5	-84.2216	12
237	-55.4711	11
237.5	-37.569	10
238	-235.076	16
238.5	-9.2809	9
239	18.1564	8
239.5	-7.46253	9
240	28.5309	8
240.5	45.1688	7
241	6.54942	9
241.5	34.6284	7
242	7.74236	9
242.5	-47.808	11
243	8.77949	8
243.5	-36.8346	10
244	38.9517	7
244.5	57.1808	6
245	-9.20215	9
245.5	-17.4789	10
246	-47.4714	11
246.5	65.2042	6
247	-19.2298	10
247.5	72.465	5
248	86.8885	5
248.5	30.2555	8
249	70.3874	6
249.5	43.7766	7
250	3890.92	12
250.5	2368.47	1060
251	1110.49	1804
251.5	698.476	2061
252	-3520.03	2234
252.5	-1383.21	974
253	-428.633	426
253.5	-584.731	187
