Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
10	0	53.791	3.93315	90.0107	0.756782	6.26575	1901.29	96.6634	3.23821	0	5.7834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	860.173	43.2958	0	0.827855	0.00350253	0	0	2.58269	1.63742	0	16.4166	0.0693092	0	0	63.4136	3.62954	0	0	1204.43	0	0	0	102.92	0.205049	0	0	0	0	5.08078	176.474	17.6233	71.7284	3998.7	0	0	0	0	0	0	0	0	0
10.5	0	53.9783	4.07132	89.6436	0.795445	6.33805	1892.21	93.2893	3.13459	0	5.59591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	873.272	42.6629	0	0.814015	0.00349319	0	0	2.55228	1.72025	0	16.6344	0.0712483	0	0	63.33	3.73691	0	0	1204.43	0	0	0	102.712	0.207558	0	0	0	0	5.36071	175.746	18.0332	71.9463	3998.7	0	0	0	0	0	0	0	0	0
11	0	54.1488	4.22659	89.2375	0.832784	6.40727	1883.83	90.3919	3.04531	0	5.4337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	885.051	42.1168	0	0.802025	0.00348774	0	0	2.52569	1.80979	0	16.8295	0.0730648	0	0	63.2487	3.8609	0	0	1204.43	0	0	0	102.525	0.209957	0	0	0	0	5.6365	175.04	18.4256	72.1351	3998.7	0	0	0	0	0	0	0	0	0
11.5	0	54.3041	4.39427	88.8034	0.868852	6.47363	1876.08	87.9455	2.96985	0	5.2957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	895.619	41.6699	0	0.792096	0.00348777	0	0	2.50379	1.90416	0	17.0038	0.074766	0	0	63.1688	3.99683	0	0	1204.43	0	0	0	102.356	0.212257	0	0	0	0	5.90809	174.356	18.8016	72.295	3998.7	0	0	0	0	0	0	0	0	0
12	0	54.4456	4.57063	88.3504	0.903709	6.53732	1868.86	85.922	2.90756	0	5.18067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	905.079	41.3298	0	0.784342	0.0034944	0	0	2.48716	2.00181	0	17.1591	0.0763591	0	0	63.0897	4.14103	0	0	1204.43	0	0	0	102.205	0.214465	0	0	0	0	6.17543	173.694	19.1624	72.4266	3998.7	0	0	0	0	0	0	0	0	0
12.5	0	54.5743	4.7527	87.8854	0.937406	6.59853	1862.13	84.2923	2.85768	0	5.0872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913.526	41.0998	0	0.77881	0.00350841	0	0	2.47613	2.10145	0	17.2972	0.0778508	0	0	63.0109	4.29063	0	0	1204.43	0	0	0	102.069	0.216588	0	0	0	0	6.4385	173.05	19.5089	72.5311	3998.7	0	0	0	0	0	0	0	0	0
13	0	54.6914	4.93817	87.414	0.97	6.6574	1855.81	83.0268	2.8194	0	5.01384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	921.05	40.9804	0	0.775487	0.00353025	0	0	2.47085	2.20201	0	17.4197	0.0792476	0	0	62.932	4.44336	0	0	1204.43	0	0	0	101.946	0.218633	0	0	0	0	6.69727	172.426	19.8418	72.6098	3998.7	0	0	0	0	0	0	0	0	0
13.5	0	54.7981	5.12518	86.9407	1.00154	6.71409	1849.87	82.0964	2.7919	0	4.95907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927.732	40.9695	0	0.774318	0.00356015	0	0	2.47129	2.30263	0	17.5279	0.0805555	0	0	62.8528	4.59749	0	0	1204.43	0	0	0	101.836	0.220603	0	0	0	0	6.95174	171.82	20.1621	72.6641	3998.7	0	0	0	0	0	0	0	0	0
14	0	54.8952	5.31231	86.4689	1.03209	6.76871	1844.26	81.4726	2.77434	0	4.9214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933.648	41.0635	0	0.775217	0.00359812	0	0	2.47731	2.40263	0	17.6232	0.0817806	0	0	62.7733	4.75166	0	0	1204.43	0	0	0	101.737	0.222505	0	0	0	0	7.20193	171.231	20.4704	72.6958	3998.7	0	0	0	0	0	0	0	0	0
14.5	0	54.9835	5.49844	86.0011	1.06167	6.8214	1838.95	81.1284	2.76591	0	4.89935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938.869	41.2571	0	0.778077	0.00364403	0	0	2.48867	2.50144	0	17.7068	0.0829282	0	0	62.6934	4.90483	0	0	1204.43	0	0	0	101.647	0.224342	0	0	0	0	7.44786	170.658	20.7674	72.7065	3998.7	0	0	0	0	0	0	0	0	0
