Time	Ca.ParticleNumberRate
461.5	-0.00109667
462	-0.00107647
462.5	-0.00105662
463	-0.00103711
463.5	-0.0010179
464	-0.000998984
464.5	-0.000980326
465	-0.000961904
465.5	-0.000943691
466	-0.000925658
466.5	-0.000907775
467	-0.000890008
467.5	-0.000872757
468	-0.000856418
468.5	-0.000840505
469	-0.000825035
469.5	-0.000810031
470	-0.000795514
470.5	-0.000781508
471	-0.000768039
471.5	-0.000755132
472	-0.000742815
472.5	-0.000731117
473	-0.00071804
473.5	-0.0007048
474	-0.000691424
474.5	-0.00067783
475	-0.00066393
475.5	-0.000649632
476	-0.000634839
476.5	-0.000619447
477	-0.000603347
477.5	-0.000586427
478	-0.000571343
478.5	-0.000559901
479	-0.000549643
479.5	-0.000540769
480	-0.000533495
480.5	-0.00052805
481	-0.000524677
481.5	-0.000523631
482	-0.000525183
482.5	-0.000529617
483	-0.000537228
483.5	-0.000530908
484	-0.000522276
484.5	-0.000510882
485	-0.000496138
485.5	-0.000477419
486	-0.00045406
486.5	-0.00042536
487	-0.000390577
487.5	-0.000348935
488	-0.000299616
488.5	-0.000280195
489	-0.000388854
489.5	-0.000421123
490	-0.000376005
490.5	-0.000370245
491	-0.000364656
491.5	-0.000359264
492	-0.000352358
492.5	-0.000347257
493	-0.000341629
493.5	-0.000335681
494	-0.000329843
494.5	-0.000324183
495	-0.000318671
495.5	-0.000313262
496	-0.000307949
496.5	-0.000302764
497	-0.000297709
497.5	-0.00029279
498	-0.000287919
498.5	-0.000283149
499	-0.00027849
499.5	-0.000273944
500	-0.000269575
500.5	-0.000265154
501	-0.00026085
501.5	-0.000256662
502	-0.000252587
502.5	-0.000248598
503	-0.000244688
503.5	-0.000240871
504	-0.000237144
504.5	-0.000233503
505	-0.000229945
505.5	-0.000226465
506	-0.000223061
506.5	-0.000219728
507	-0.000216463
507.5	-0.000213279
508	-0.000210176
508.5	-0.000207139
509	-0.000204165
509.5	-0.00020125
510	-0.00019839
510.5	-0.000195583
511	-0.000192824
511.5	-0.00019011
512	-0.000187437
512.5	-0.000184848
513	-0.000182345
513.5	-0.000179897
514	-0.000177503
514.5	-0.000175161
515	-0.000172869
515.5	-0.000170625
516	-0.000168427
516.5	-0.000166272
517	-0.00016416
517.5	-0.000162115
518	-0.000160138
518.5	-0.000158212
519	-0.000156335
519.5	-0.000154507
520	-0.000152727
520.5	-0.000150993
521	-0.000149303
521.5	-0.000147658
522	-0.000146056
522.5	-0.00014449
523	-0.000142959
523.5	-0.000141464
524	-0.000140003
524.5	-0.000138576
525	-0.000137179
525.5	-0.000135812
526	-0.000134472
526.5	-0.000133158
527	-0.000131868
527.5	-0.000130607
528	-0.000129374
528.5	-0.000128164
529	-0.000126974
529.5	-0.000125802
530	-0.000124648
530.5	-0.000123509
531	-0.000122383
531.5	-0.000121269
532	-0.000120164
532.5	-0.000119154
533	-0.000118116
533.5	-0.000117106
534	-0.000116123
534.5	-0.000115164
535	-0.00011423
535.5	-0.000113318
536	-0.000112427
536.5	-0.000111557
537	-0.000110706
537.5	-0.000109883
538	-0.000109089
538.5	-0.000108319
539	-0.000107572
539.5	-0.000106848
540	-0.00010615
540.5	-0.000105477
541	-0.000104831
541.5	-0.000104212
542	-0.000103622
542.5	-0.000103063
543	-0.000102537
543.5	-0.000102045
544	-0.000101498
544.5	-0.000100964
545	-0.000100442
545.5	-9.99309e-05
546	-9.94303e-05
546.5	-9.89393e-05
547	-9.84574e-05
547.5	-9.79839e-05
548	-9.75182e-05
548.5	-9.70598e-05
549	-9.6608e-05
549.5	-9.61624e-05
550	-9.5718e-05
550.5	-9.52698e-05
551	-9.48226e-05
551.5	-9.43758e-05
552	-9.39283e-05
552.5	-9.34795e-05
553	-9.30284e-05
553.5	-9.25743e-05
554	-9.21164e-05
554.5	-9.1654e-05
555	-9.11862e-05
555.5	-9.07123e-05
556	-9.02317e-05
556.5	-8.97941e-05
557	-8.93748e-05
557.5	-8.89662e-05
558	-8.85699e-05
558.5	-8.81877e-05
559	-8.78214e-05
559.5	-8.7473e-05
560	-8.71445e-05
560.5	-8.68383e-05
561	-8.65566e-05
561.5	-8.63019e-05
562	-8.60768e-05
562.5	-8.5867e-05
563	-8.56269e-05
563.5	-8.54022e-05
564	-8.5193e-05
564.5	-8.49997e-05
565	-8.48226e-05
565.5	-8.46619e-05
566	-8.45179e-05
566.5	-8.43908e-05
567	-8.42809e-05
567.5	-8.41885e-05
568	-8.41137e-05
568.5	-8.40568e-05
569	-8.39398e-05
569.5	-8.37806e-05
570	-8.36136e-05
570.5	-8.34369e-05
571	-8.32482e-05
571.5	-8.30453e-05
572	-8.28259e-05
572.5	-8.25876e-05
573	-8.2328e-05
573.5	-8.20445e-05
574	-8.17345e-05
574.5	-8.13952e-05
575	-8.10238e-05
575.5	-8.06175e-05
576	-8.01733e-05
576.5	-7.96881e-05
577	-7.91589e-05
577.5	-7.85823e-05
578	-7.82633e-05
578.5	-7.8056e-05
579	-7.78799e-05
579.5	-7.77391e-05
580	-7.76378e-05
580.5	-7.75802e-05
581	-7.7571e-05
581.5	-7.76146e-05
582	-7.77162e-05
582.5	-7.78806e-05
583	-7.81131e-05
583.5	-7.84191e-05
584	-7.88042e-05
584.5	-7.92741e-05
585	-7.98347e-05
585.5	-8.04922e-05
586	-8.12528e-05
586.5	-8.2123e-05
587	-8.2265e-05
587.5	-8.22263e-05
588	-8.21048e-05
588.5	-8.18895e-05
589	-8.15694e-05
589.5	-8.11326e-05
590	-8.05671e-05
590.5	-7.98603e-05
591	-7.89994e-05
591.5	-7.79707e-05
592	-7.67606e-05
592.5	-7.53548e-05
593	-7.37384e-05
593.5	-7.18965e-05
594	-6.98134e-05
594.5	-6.74731e-05
595	-6.48591e-05
595.5	-6.19547e-05
596	-6.12388e-05
596.5	-6.07485e-05
597	-6.04738e-05
597.5	-6.04432e-05
598	-6.06861e-05
598.5	-6.12332e-05
599	-6.21163e-05
599.5	-6.33684e-05
600	-6.50237e-05
600.5	-6.71176e-05
601	-6.96864e-05
601.5	-7.27679e-05
602	-7.64008e-05
602.5	-8.06251e-05
603	-8.54819e-05
603.5	-9.10135e-05
604	-9.72633e-05
604.5	-0.000103725
605	-0.000104849
605.5	-0.000105484
606	-0.000105561
606.5	-0.000105008
607	-0.000103748
607.5	-0.000101702
608	-9.87893e-05
608.5	-9.49246e-05
609	-9.00201e-05
609.5	-8.39853e-05
610	-7.67264e-05
610.5	-6.81469e-05
611	-5.81471e-05
611.5	-4.66244e-05
612	-3.34733e-05
612.5	-1.85854e-05
613	-1.8492e-06
613.5	1.3056e-05
614	3.42689e-06
614.5	-2.68591e-05
615	-8.03981e-05
615.5	-9.83573e-05
616	-9.70432e-05
616.5	-6.84194e-05
617	-5.80461e-05
617.5	-5.63602e-05
618	-6.41182e-05
618.5	-6.73217e-05
619	-6.92605e-05
619.5	-6.88758e-05
620	-6.94763e-05
620.5	-7.09352e-05
621	-7.15902e-05
621.5	-7.14414e-05
622	-7.04888e-05
622.5	-6.87326e-05
623	-6.7079e-05
623.5	-6.68745e-05
624	-6.6659e-05
624.5	-6.64327e-05
625	-6.61958e-05
625.5	-6.59486e-05
626	-6.56955e-05
626.5	-6.55118e-05
627	-6.53408e-05
627.5	-6.51829e-05
628	-6.50381e-05
628.5	-6.49067e-05
629	-6.47888e-05
629.5	-6.46319e-05
630	-6.44646e-05
630.5	-6.43012e-05
631	-6.41418e-05
631.5	-6.39867e-05
632	-6.3836e-05
632.5	-6.36899e-05
633	-6.35486e-05
633.5	-6.34122e-05
634	-6.3281e-05
634.5	-6.31551e-05
635	-6.30347e-05
635.5	-6.29104e-05
636	-6.2761e-05
636.5	-6.26118e-05
637	-6.2463e-05
637.5	-6.23148e-05
638	-6.21673e-05
638.5	-6.20209e-05
639	-6.18755e-05
639.5	-6.17314e-05
640	-6.15889e-05
640.5	-6.14479e-05
641	-6.13088e-05
641.5	-6.11717e-05
642	-6.10728e-05
642.5	-6.09133e-05
643	-6.0756e-05
643.5	-6.06008e-05
644	-6.04479e-05
644.5	-6.02972e-05
645	-6.01486e-05
645.5	-6.00023e-05
646	-5.98581e-05
646.5	-5.97161e-05
647	-5.95763e-05
647.5	-5.94387e-05
648	-5.93011e-05
648.5	-5.91568e-05
649	-5.90133e-05
649.5	-5.88705e-05
650	-5.87282e-05
650.5	-5.85865e-05
651	-5.84452e-05
651.5	-5.83043e-05
652	-5.81636e-05
652.5	-5.80232e-05
653	-5.78829e-05
653.5	-5.77427e-05
654	-5.76025e-05
654.5	-5.74622e-05
655	-5.73218e-05
655.5	-5.71811e-05
656	-5.70401e-05
656.5	-5.68987e-05
657	-5.67568e-05
657.5	-5.66144e-05
658	-5.64713e-05
658.5	-5.63276e-05
659	-5.61838e-05
659.5	-5.6047e-05
660	-5.59104e-05
660.5	-5.57739e-05
661	-5.56375e-05
661.5	-5.55011e-05
662	-5.53648e-05
662.5	-5.52285e-05
663	-5.50921e-05
663.5	-5.49555e-05
664	-5.48189e-05
664.5	-5.46821e-05
665	-5.4545e-05
665.5	-5.44077e-05
666	-5.427e-05
666.5	-5.4132e-05
667	-5.39936e-05
667.5	-5.38548e-05
668	-5.37155e-05
668.5	-5.35756e-05
669	-5.34351e-05
669.5	-5.3294e-05
670	-5.31523e-05
670.5	-5.30176e-05
671	-5.28832e-05
671.5	-5.27491e-05
672	-5.26152e-05
672.5	-5.24816e-05
673	-5.23483e-05
673.5	-5.22151e-05
674	-5.20822e-05
674.5	-5.19495e-05
675	-5.1817e-05
675.5	-5.16846e-05
676	-5.15525e-05
676.5	-5.14205e-05
677	-5.12887e-05
677.5	-5.1157e-05
678	-5.10254e-05
678.5	-5.0894e-05
679	-5.07626e-05
679.5	-5.06313e-05
680	-5.05001e-05
680.5	-5.0369e-05
681	-5.02378e-05
681.5	-5.01088e-05
682	-4.99803e-05
682.5	-4.98522e-05
683	-4.97243e-05
683.5	-4.95967e-05
684	-4.94694e-05
684.5	-4.93423e-05
685	-4.92156e-05
685.5	-4.9089e-05
686	-4.89627e-05
686.5	-4.88367e-05
687	-4.87108e-05
687.5	-4.85852e-05
688	-4.84598e-05
688.5	-4.83345e-05
689	-4.82094e-05
689.5	-4.80845e-05
690	-4.79596e-05
690.5	-4.7835e-05
691	-4.77104e-05
691.5	-4.75859e-05
692	-4.74615e-05
692.5	-4.73392e-05
693	-4.7218e-05
693.5	-4.70971e-05
694	-4.69766e-05
694.5	-4.68565e-05
695	-4.67367e-05
695.5	-4.66172e-05
696	-4.64981e-05
696.5	-4.63792e-05
697	-4.62607e-05
697.5	-4.61425e-05
698	-4.60246e-05
698.5	-4.59069e-05
699	-4.57895e-05
699.5	-4.56723e-05
700	-4.55554e-05
