Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
10	0	53.9474	3.98993	90.397	0.759803	6.26544	1713.32	274.146	9.1517	0	16.1411	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	777.353	122.322	0	2.33368	0.00984243	0	0	7.17464	1.50167	0	14.8488	0.0627123	0	0	57.3437	3.31913	0	0	1204.43	0	0	0	102.983	0.205185	0	0	0	0	5.07933	176.474	17.6215	56.7787	3998.7	0	0	0	0	0	0	0	0	0
10.5	0	54.1407	4.13689	90.0506	0.798802	6.33772	1697.63	277.045	9.28096	0	16.2281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	785.718	126.286	0	2.40464	0.0102886	0	0	7.37199	1.57329	0	14.9798	0.064183	0	0	57.0212	3.4079	0	0	1204.43	0	0	0	102.776	0.207698	0	0	0	0	5.35909	175.746	18.0312	56.4943	3998.7	0	0	0	0	0	0	0	0	0
11	0	54.317	4.30096	89.6685	0.836519	6.40691	1682.87	280.226	9.41737	0	16.3278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	792.899	130.211	0	2.47506	0.0107336	0	0	7.56365	1.65051	0	15.0907	0.0655369	0	0	56.7084	3.51105	0	0	1204.43	0	0	0	102.591	0.210101	0	0	0	0	5.63468	175.04	18.4234	56.203	3998.7	0	0	0	0	0	0	0	0	0
11.5	0	54.4779	4.47735	89.2616	0.873013	6.47322	1668.9	283.693	9.56137	0	16.4399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	798.999	134.117	0	2.54528	0.011179	0	0	7.75057	1.73153	0	15.1831	0.0667814	0	0	56.4035	3.62409	0	0	1204.43	0	0	0	102.424	0.212405	0	0	0	0	5.90604	174.357	18.7992	55.904	3998.7	0	0	0	0	0	0	0	0	0
12	0	54.6247	4.66224	88.8385	0.908342	6.53689	1655.62	287.446	9.71322	0	16.5641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	804.111	138.019	0	2.6156	0.0116259	0	0	7.93355	1.81487	0	15.2589	0.0679231	0	0	56.1049	3.74358	0	0	1204.43	0	0	0	102.274	0.214616	0	0	0	0	6.17313	173.694	19.1598	55.5968	3998.7	0	0	0	0	0	0	0	0	0
12.5	0	54.7585	4.85264	88.4062	0.94256	6.59805	1642.94	291.483	9.87304	0	16.6998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	808.322	141.929	0	2.68624	0.0120754	0	0	8.11321	1.89933	0	15.3194	0.0689689	0	0	55.8113	3.86681	0	0	1204.43	0	0	0	102.139	0.216742	0	0	0	0	6.43592	173.051	19.5059	55.2815	3998.7	0	0	0	0	0	0	0	0	0
13	0	54.8805	5.04622	87.97	0.975723	6.65688	1630.78	295.798	10.0409	0	16.8463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	811.71	145.857	0	2.75738	0.0125284	0	0	8.29006	1.98391	0	15.3661	0.0699246	0	0	55.5214	3.99172	0	0	1204.43	0	0	0	102.018	0.218788	0	0	0	0	6.69439	172.426	19.8386	54.9581	3998.7	0	0	0	0	0	0	0	0	0
13.5	0	54.9919	5.24113	87.534	1.00788	6.71351	1619.07	300.385	10.2166	0	17.0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	814.346	149.811	0	2.82917	0.0129857	0	0	8.4645	2.06783	0	15.4002	0.0707959	0	0	55.2344	4.11672	0	0	1204.43	0	0	0	101.909	0.220761	0	0	0	0	6.94854	171.82	20.1586	54.6269	3998.7	0	0	0	0	0	0	0	0	0
14	0	55.0934	5.43598	87.1014	1.03909	6.76809	1607.74	305.235	10.4001	0	17.1693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	816.295	153.799	0	2.90173	0.0134476	0	0	8.63683	2.15049	0	15.4229	0.071588	0	0	54.9493	4.24061	0	0	1204.43	0	0	0	101.811	0.222665	0	0	0	0	7.19838	171.231	20.4666	54.2884	3998.7	0	0	0	0	0	0	0	0	0
14.5	0	55.1861	5.62968	86.6746	1.06939	6.82072	1596.75	310.339	10.5913	0	17.3442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	817.617	157.823	0	2.97513	0.0139148	0	0	8.80731	2.23139	0	15.435	0.0723058	0	0	54.6654	4.36247	0	0	1204.43	0	0	0	101.722	0.224503	0	0	0	0	7.44393	170.659	20.7632	53.943	3998.7	0	0	0	0	0	0	0	0	0
