# time 'Ca' 'D34:75:137_PP2ACa' 'D34:75:137_PP2APCa' 'D34:75_PP2ACa' 'D34:75_PP2APCa' 'D75:137_PP2ACa' 'D75:137_PP2APCa' 'D75_PP2ACa' 'D75_PP2APCa' 'PP2ACa' 'PP2ACa_PKA' 'PP2APCa' 'PP2BinactiveCa2_1' 'PP2BinactiveCa2_2' 'PP2BinactiveCa2_3' 'PP2BinactiveCa2_4' 'PP2BinactiveCa2_5' 'PP2BinactiveCa2_6' 'all_Ca2+' 'PP2Ba_missingCa2+_1' 'D_PP2Ba__missingCa2+_2' 'D_PP2Ba__missingCa2+_3' 'D_CDK5_PP2Ba__missingCa2+_4' 'CK1_PP2Ba__missingCa2+_5' 'D_PP2Ba_missingCa2+_6'
 8.050000E+01 7 0 0 0 0 0 0 0 0 2 0 0 22 18 17 19 16 15 275 12 0 0 0 1 0
 8.100000E+01 10 0 0 0 0 0 0 2 0 0 0 0 25 22 10 15 17 12 274 14 0 0 0 1 0
 8.150000E+01 7 0 0 0 0 0 0 0 0 2 0 0 20 22 15 14 22 11 273 13 0 0 0 1 0
 8.200000E+01 6 0 0 0 0 0 0 0 0 2 0 0 23 17 17 11 22 14 272 12 0 0 0 2 0
 8.250000E+01 10 0 0 0 0 0 0 1 0 1 0 0 19 15 19 11 21 16 278 15 0 0 0 1 0
 8.300000E+01 6 0 0 0 0 1 0 0 0 1 0 0 19 12 17 18 27 16 282 12 0 0 0 2 0
 8.350000E+01 10 0 0 0 0 0 0 0 0 0 0 0 16 15 17 13 29 18 286 14 0 0 0 1 0
 8.400000E+01 15 0 0 0 0 0 0 0 0 0 0 0 17 13 19 13 21 14 285 17 0 0 0 2 0
 8.450000E+01 9 0 0 0 0 0 0 0 0 0 0 0 19 19 18 18 22 19 291 10 0 0 0 3 0
 8.500000E+01 6 0 0 0 0 0 0 0 0 0 0 0 12 15 14 23 18 19 292 19 0 0 0 2 0
 8.550000E+01 8 0 0 0 0 0 0 0 0 0 0 0 18 20 14 15 20 19 284 15 0 0 0 1 0
 8.600000E+01 7 0 0 0 0 0 0 0 0 0 0 0 20 22 15 9 17 23 279 15 0 0 0 0 0
 8.650000E+01 10 0 0 0 0 0 0 0 0 1 0 0 12 14 23 15 18 17 277 12 0 0 0 5 0
 8.700000E+01 12 0 0 0 0 0 0 0 0 0 0 0 15 17 21 20 15 13 282 14 0 0 0 3 0
 8.750000E+01 12 0 0 0 0 0 0 0 0 0 0 0 20 18 19 16 20 21 280 10 0 0 0 0 0
 8.800000E+01 5 0 0 0 0 0 0 0 0 3 0 0 18 20 18 14 20 20 280 13 0 0 0 0 0
 8.850000E+01 9 0 0 0 0 0 0 0 0 2 0 0 22 20 18 15 19 22 287 11 0 0 0 0 0
 8.900000E+01 14 0 0 0 0 0 0 0 0 2 0 0 20 17 14 19 19 19 284 13 0 0 0 0 0
 8.950000E+01 9 0 0 0 0 0 0 1 0 0 0 0 20 24 13 23 22 15 292 12 0 0 0 0 0
 9.000000E+01 7 0 0 0 0 0 0 0 0 0 0 0 19 15 13 20 17 16 291 19 0 0 0 2 0
 9.050000E+01 9 0 0 0 0 0 0 0 0 0 0 0 16 19 19 23 20 17 289 13 0 0 0 0 0
 9.100000E+01 10 0 0 0 0 0 0 0 0 0 0 0 26 20 16 15 19 17 284 11 0 0 0 1 0
 9.150000E+01 7 0 0 0 0 0 0 0 0 0 0 0 22 14 26 13 18 17 287 14 0 0 0 1 0
 9.200000E+01 6 0 0 0 0 0 0 0 0 0 0 0 27 15 22 10 19 15 278 14 0 0 0 0 0
 9.250000E+01 8 0 0 0 0 0 0 0 0 0 0 0 23 20 20 15 21 14 282 11 0 0 0 1 0
 9.300000E+01 6 0 0 0 0 0 0 0 0 0 0 0 24 17 21 15 15 11 280 16 0 0 0 1 0
 9.350000E+01 13 0 0 0 0 0 0 0 0 0 0 0 19 15 19 18 20 17 285 14 0 0 0 0 0
 9.400000E+01 10 0 0 0 0 0 0 0 0 0 0 0 24 21 13 19 13 20 282 12 0 0 0 1 0
 9.450000E+01 11 0 0 0 0 0 0 0 0 0 0 0 23 16 24 16 13 16 275 12 0 0 0 0 0
 9.500000E+01 6 0 0 0 0 0 0 0 0 0 0 0 19 18 16 18 15 18 274 12 0 0 0 3 0
 9.550000E+01 9 0 0 0 0 0 0 0 0 0 0 0 21 18 18 18 16 28 279 7 0 0 0 1 0
 9.600000E+01 12 0 0 0 0 0 0 0 0 0 0 0 14 16 17 23 15 24 278 11 0 0 0 1 0
 9.650000E+01 12 0 0 0 0 0 0 0 0 0 0 0 12 19 13 29 14 25 272 7 0 0 0 2 0
 9.700000E+01 6 0 0 0 0 0 0 0 0 0 0 0 15 18 14 24 15 21 272 12 0 0 0 1 0
 9.750000E+01 6 0 0 0 0 0 0 0 0 0 0 0 19 23 16 18 16 19 268 8 0 0 0 2 0
 9.800000E+01 7 0 0 0 0 0 0 0 0 0 0 0 18 18 18 21 11 16 267 11 0 0 0 3 0
 9.850000E+01 13 0 0 0 0 0 0 0 0 0 0 0 19 24 16 18 12 19 261 8 0 0 0 0 0
 9.900000E+01 11 0 0 0 0 0 0 0 0 0 0 0 18 18 14 24 11 12 257 10 0 0 0 3 0
 9.950000E+01 15 0 0 0 0 0 0 0 0 1 0 0 18 18 16 19 11 11 254 11 0 0 0 2 0
 1.000000E+02 12 0 0 0 0 0 0 0 0 1 0 0 17 16 15 17 16 12 255 13 0 0 0 1 0
 1.005000E+02 9 0 0 0 0 0 0 0 0 2 0 0 16 16 19 16 15 11 265 17 0 0 0 0 0
 1.010000E+02 8 0 0 0 0 0 0 1 0 1 0 0 13 16 15 19 22 18 264 10 0 0 0 2 0
 1.015000E+02 11 0 0 0 0 0 0 1 0 1 0 0 16 15 14 19 18 19 267 11 0 0 0 2 0
 1.020000E+02 9 0 0 0 0 0 0 0 0 2 0 0 15 13 18 22 16 17 269 12 0 0 0 2 0
 1.025000E+02 11 0 0 0 0 0 0 2 0 1 0 0 15 24 21 14 16 20 274 8 0 0 0 2 0
 1.030000E+02 3 0 0 0 0 0 0 0 0 3 0 0 10 20 18 19 16 24 272 12 0 0 0 1 0
 1.035000E+02 5 0 0 0 0 0 0 0 0 2 0 0 14 25 12 22 18 20 273 9 0 0 0 2 0
 1.040000E+02 8 0 0 0 0 1 0 0 0 1 0 0 13 22 9 19 14 26 268 13 0 0 0 0 0
 1.045000E+02 9 0 0 0 0 0 0 0 0 0 0 0 12 13 14 16 18 18 267 17 0 0 0 2 0
 1.050000E+02 9 0 0 0 0 0 0 0 0 3 0 0 18 17 14 18 19 24 264 7 0 0 0 1 0
 1.055000E+02 6 0 0 0 0 0 0 0 0 1 0 0 18 22 15 18 19 14 267 12 0 0 0 0 0
 1.060000E+02 10 0 0 0 0 0 0 0 0 0 0 0 22 20 12 22 18 13 272 11 0 0 0 1 0
 1.065000E+02 11 0 0 0 0 0 0 0 0 0 0 0 27 14 18 20 22 12 265 6 0 0 0 1 0
 1.070000E+02 11 0 0 0 0 0 0 0 0 0 0 0 21 14 17 17 13 12 259 14 0 0 0 1 0
 1.075000E+02 6 0 0 0 0 0 0 0 0 0 0 0 14 12 27 19 14 18 258 9 0 0 0 2 0
 1.080000E+02 10 0 0 0 0 0 0 0 0 0 0 0 10 11 25 18 16 18 262 13 0 0 0 1 0
