Time	Ca.ParticleNumber	cAMP.ParticleNumber
260	2255.5	1.51535
260.5	971.515	1.46023
261	426.249	1.40793
261.5	193.727	1.35828
262	95.0886	1.31115
262	95.0886	1.31115
262.5	1374.65	1.26642
263	1919.33	1.22398
263.5	2153.43	1.18375
264	2255.48	1.1456
264	2255.48	1.1456
264.5	971.518	1.10942
265	426.259	1.07508
265.5	193.741	1.04245
266	95.1134	1.01144
266	95.1134	1.01144
266.5	1374.63	0.981967
267	1919.31	0.953978
267.5	2153.42	0.927414
268	2255.47	0.9022
268	2255.47	0.9022
268.5	971.518	0.878257
269	426.263	0.855492
269.5	193.747	0.833822
270	95.1245	0.813181
270	95.1245	0.813181
270.5	1374.63	0.793516
271	1919.3	0.774806
271.5	2153.41	0.757016
272	2255.47	0.740101
272	2255.47	0.740101
272.5	971.519	0.724008
273	426.266	0.708669
273.5	193.75	0.694027
274	95.1306	0.680036
274	95.1306	0.680036
274.5	1374.62	0.666665
275	1919.3	0.653908
275.5	2153.41	0.641751
276	2255.47	0.630165
276	2255.47	0.630165
276.5	971.52	0.619114
277	426.267	0.608547
277.5	193.752	0.598422
278	95.1345	0.588709
278	95.1345	0.588709
278.5	1374.62	0.579388
279	1919.3	0.570465
279.5	2153.41	0.561936
280	2255.47	0.553785
280	2255.47	0.553785
280.5	971.519	0.545985
281	426.268	0.538498
281.5	193.754	0.531291
282	95.1374	0.524343
282	95.1374	0.524343
282.5	1374.62	0.517643
283	1919.29	0.511203
283.5	2153.4	0.505026
284	2255.47	0.499102
284	2255.47	0.499102
284.5	971.52	0.493413
285	426.269	0.487927
285.5	193.756	0.482618
286	95.1403	0.477471
286	95.1403	0.477471
286.5	1374.62	0.47248
287	1919.29	0.46766
287.5	2153.41	0.46302
288	2255.47	0.458554
288	2255.47	0.458554
288.5	971.521	0.454248
289	426.271	0.450074
289.5	193.758	0.446012
290	95.1434	0.442051
290.5	55.4848	0.438183
291	40.3482	0.43441
291.5	33.69	0.430734
292	30.0079	0.427156
292.5	27.6105	0.423679
293	25.8852	0.420303
293.5	24.562	0.417026
294	23.5022	0.413847
294.5	22.626	0.410765
295	21.884	0.407777
295.5	21.2436	0.404879
296	20.6824	0.40207
296.5	20.1845	0.399346
297	19.7379	0.396704
297.5	19.3339	0.394141
298	18.9654	0.391655
298.5	18.6272	0.389241
299	18.315	0.386898
299.5	18.0252	0.384622
300	17.7551	0.38241
300.5	17.5022	0.380259
301	17.2647	0.378168
301.5	17.0408	0.376132
302	16.8292	0.374151
302.5	16.6286	0.372221
303	16.4381	0.370339
303.5	16.2566	0.368505
304	16.0834	0.366715
304.5	15.9179	0.364968
305	15.7594	0.363261
305.5	15.6073	0.361594
306	15.4613	0.359963
306.5	15.3208	0.358368
307	15.1855	0.356806
307.5	15.0551	0.355277
308	14.9291	0.353778
308.5	14.8074	0.352309
309	14.6897	0.350867
309.5	14.5757	0.349453
310	14.4653	0.348064
310.5	14.3581	0.346699
311	14.2541	0.345358
311.5	14.1532	0.34404
312	14.0551	0.342742
312.5	13.9596	0.341465
313	13.8668	0.340208
313.5	13.7764	0.338969
314	13.6883	0.337749
314.5	13.6024	0.336545
315	13.5187	0.335358
315.5	13.4371	0.334187
316	13.3574	0.333032
316.5	13.2795	0.33189
317	13.2035	0.330763
317.5	13.1292	0.32965
318	13.0566	0.328549
318.5	12.9856	0.327461
319	12.9161	0.326386
319.5	12.8481	0.325321
320	12.7816	0.324268
320.5	12.7165	0.323226
321	12.6527	0.322195
321.5	12.5902	0.321173
322	12.5289	0.320161
322.5	12.4689	0.319159
323	12.4101	0.318166
323.5	12.3524	0.317181
324	12.2958	0.316206
324.5	12.2403	0.315238
325	12.1859	0.314279
325.5	12.1324	0.313328
326	12.08	0.312384
326.5	12.0285	0.311448
327	11.978	0.310519
327.5	11.9284	0.309597
328	11.8796	0.308681
328.5	11.8318	0.307773
329	11.7848	0.306871
329.5	11.7386	0.305975
330	11.6932	0.305085
330.5	11.6485	0.304202
331	11.6047	0.303324
331.5	11.5616	0.302452
332	11.5192	0.301586
332.5	11.4776	0.300725
333	11.4366	0.299869
333.5	11.3963	0.299019
334	11.3567	0.298173
334.5	11.3178	0.297333
335	11.2794	0.296498
335.5	11.2418	0.295667
336	11.2047	0.294842
336.5	11.1682	0.29402
337	11.1323	0.293204
337.5	11.097	0.292391
338	11.0622	0.291583
338.5	11.028	0.29078
339	10.9944	0.28998
339.5	10.9613	0.289185
340	10.9287	0.288393
340.5	10.8966	0.287606
341	10.865	0.286822
341.5	10.8339	0.286042
342	10.8033	0.285266
342.5	10.7731	0.284493
343	10.7435	0.283724
343.5	10.7143	0.282959
344	10.6855	0.282197
344.5	10.6572	0.281438
345	10.6293	0.280683
345.5	10.6019	0.279931
346	10.5749	0.279182
346.5	10.5483	0.278436
347	10.522	0.277693
347.5	10.4962	0.276953
348	10.4708	0.276217
348.5	10.4458	0.275483
349	10.4212	0.274752
349.5	10.3969	0.274023
350	10.373	0.273298
350.5	10.3494	0.272575
351	10.3263	0.271855
351.5	10.3034	0.271138
352	10.2809	0.270423
352.5	10.2588	0.26971
353	10.237	0.269
353.5	10.2155	0.268292
354	10.1943	0.267587
354.5	10.1735	0.266884
355	10.153	0.266184
355.5	10.1328	0.265485
356	10.1128	0.264789
356.5	10.0932	0.264095
357	10.0739	0.263403
357.5	10.0549	0.262713
358	10.0362	0.262025
358.5	10.0177	0.261339
359	9.99954	0.260655
359.5	9.98164	0.259973
360	9.96401	0.259293
360.5	9.94665	0.258615
361	9.92955	0.257938
361.5	9.91271	0.257263
362	9.89612	0.25659
362.5	9.87978	0.255919
363	9.86369	0.25525
363.5	9.84784	0.254582
364	9.83224	0.253915
364.5	9.81687	0.253251
365	9.80173	0.252587
365.5	9.78682	0.251926
366	9.77214	0.251266
366.5	9.75769	0.250607
367	9.74345	0.24995
367.5	9.72943	0.249294
368	9.71563	0.24864
368.5	9.70203	0.247987
369	9.68865	0.247335
369.5	9.67546	0.246685
370	9.66248	0.246035
370.5	9.6497	0.245388
371	9.63711	0.244741
371.5	9.62471	0.244096
