Time	AMP.ParticleNumber	CDK5.ParticleNumber	CK1.ParticleNumber	CK1P.ParticleNumber	CK1P_PP2B.ParticleNumber	Ca.ParticleNumber	D.ParticleNumber	D137.ParticleNumber	D137_CDK5.ParticleNumber	D137_PKA.ParticleNumber	D137_PP2C.ParticleNumber	D34.ParticleNumber	D34:137.ParticleNumber	D34:137_CDK5.ParticleNumber	D34:137_PP2B.ParticleNumber	D34:137_PP2C.ParticleNumber	D34:75.ParticleNumber	D34:75:137.ParticleNumber	D34:75:137_PP2A.ParticleNumber	D34:75:137_PP2ACa.ParticleNumber	D34:75:137_PP2AP.ParticleNumber	D34:75:137_PP2APCa.ParticleNumber	D34:75:137_PP2B.ParticleNumber	D34:75:137_PP2C.ParticleNumber	D34:75_CK1.ParticleNumber	D34:75_PP2A.ParticleNumber	D34:75_PP2ACa.ParticleNumber	D34:75_PP2AP.ParticleNumber	D34:75_PP2APCa.ParticleNumber	D34:75_PP2B.ParticleNumber	D34_CDK5.ParticleNumber	D34_CK1.ParticleNumber	D34_PP2B.ParticleNumber	D75.ParticleNumber	D75:137.ParticleNumber	D75:137_PKA.ParticleNumber	D75:137_PP2A.ParticleNumber	D75:137_PP2ACa.ParticleNumber	D75:137_PP2AP.ParticleNumber	D75:137_PP2APCa.ParticleNumber	D75:137_PP2C.ParticleNumber	D75_CK1.ParticleNumber	D75_PKA.ParticleNumber	D75_PP2A.ParticleNumber	D75_PP2ACa.ParticleNumber	D75_PP2AP.ParticleNumber	D75_PP2APCa.ParticleNumber	D_CDK5.ParticleNumber	D_CK1.ParticleNumber	D_PKA.ParticleNumber	Empty.ParticleNumber	PDE.ParticleNumber	PDEP.ParticleNumber	PDE_PKA.ParticleNumber	PKA.ParticleNumber	PP2A.ParticleNumber	PP2ACa.ParticleNumber	PP2ACa_PKA.ParticleNumber	PP2AP.ParticleNumber	PP2APCa.ParticleNumber	PP2A_PKA.ParticleNumber	PP2B.ParticleNumber	PP2Binactive.ParticleNumber	PP2BinactiveCa2.ParticleNumber	PP2C.ParticleNumber	R2C2.ParticleNumber	cAMP.ParticleNumber	cAMP2_R2C2.ParticleNumber	cAMP3_R2C2.ParticleNumber	cAMP4_R2.ParticleNumber	cAMP4_R2C.ParticleNumber	cAMP4_R2C2.ParticleNumber	cAMP_PDE.ParticleNumber	cAMP_PDEP.ParticleNumber	cAMP_R2C2.ParticleNumber
15.5	0	56	8	86	0	2	1792	117	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	938	46	0	2	0	0	0	3	3	0	26	0	0	0	61	3	0	0	1204	0	0	0	92	0	0	0	0	0	8	173	19	72	3999	0	0	0	0	0	0	0	0	0
16	0	50	7	84	1	9	1790	111	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	953	47	0	1	0	0	0	1	3	0	13	0	0	0	68	5	0	0	1204	0	0	0	106	0	0	0	0	0	8	176	15	74	3999	0	0	0	0	0	0	0	0	0
16.5	0	58	7	85	1	6	1804	111	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	935	47	0	1	0	0	0	3	4	0	22	0	0	0	61	3	0	0	1204	0	0	0	97	0	0	0	0	0	6	171	22	70	3999	0	0	0	0	0	0	0	0	0
17	0	62	10	83	0	13	1805	104	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	956	48	0	1	0	0	0	5	2	0	10	0	0	0	54	5	0	0	1204	0	0	0	109	0	0	0	0	0	8	176	16	70	3999	0	0	0	0	0	0	0	0	0
17.5	0	54	9	80	1	8	1798	100	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	53	0	0	0	0	0	4	4	0	24	0	0	0	63	6	0	0	1204	0	0	0	96	0	0	0	0	0	6	174	19	68	3999	0	0	0	0	0	0	0	0	0
18	0	54	6	83	0	9	1807	106	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	927	55	0	0	0	0	0	3	3	0	16	0	0	0	64	8	0	0	1204	0	0	0	103	1	0	0	0	0	8	174	18	69	3999	0	0	0	0	0	0	0	0	0
18.5	0	43	6	80	2	6	1808	100	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	51	0	3	0	0	0	2	2	0	15	0	0	0	74	10	0	0	1204	0	0	0	101	1	0	0	0	0	4	172	22	71	3999	0	0	0	0	0	0	0	0	0
19	0	57	8	81	1	7	1825	109	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	912	56	0	0	0	0	0	1	2	0	20	0	0	0	59	8	0	0	1204	0	0	0	99	1	0	0	0	0	6	174	19	76	3999	0	0	0	0	0	0	0	0	0
19.5	0	56	7	83	0	8	1809	117	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	915	50	0	0	0	0	0	8	1	0	23	0	0	0	61	9	0	0	1204	0	0	0	97	0	0	0	0	0	8	171	21	69	3999	0	0	0	0	0	0	0	0	0
20	0	53	8	83	0	7	1788	115	1	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	52	0	2	0	0	0	3	4	0	11	0	0	0	66	5	0	0	1204	0	0	0	107	0	0	0	0	0	7	169	24	68	3999	0	0	0	0	0	0	0	0	0
20.5	0	53	8	81	1	6	1799	114	6	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	922	59	0	1	0	0	0	1	1	0	20	0	0	0	61	9	0	0	1204	0	0	0	99	0	0	0	0	0	7	168	24	73	3999	0	0	0	0	0	0	0	0	0
21	0	54	6	82	0	2	1804	114	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	913	61	0	1	0	0	0	5	5	0	19	0	0	0	59	7	0	0	1204	0	0	0	100	0	0	0	0	0	12	167	21	71	3999	0	0	0	0	0	0	0	0	0
21.5	0	42	7	81	2	9	1793	112	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	914	59	0	2	0	0	0	3	3	0	19	0	0	0	76	7	0	0	1204	0	0	0	99	0	0	0	0	0	10	166	22	68	3999	0	0	0	0	0	0	0	0	0
22	0	42	7	80	2	6	1782	108	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	930	59	0	1	0	0	0	4	3	0	20	0	0	0	74	8	0	0	1204	0	0	0	99	0	0	0	0	0	12	166	20	70	3999	0	0	0	0	0	0	0	0	0
22.5	0	48	6	86	1	7	1785	90	10	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	961	57	0	1	0	0	0	2	3	0	17	0	0	0	62	4	0	0	1204	0	0	0	102	0	0	0	0	0	9	163	27	71	3999	0	0	0	0	0	0	0	0	0
23	0	52	2	91	0	5	1777	102	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	48	0	4	0	0	0	3	2	0	18	0	0	0	65	5	0	0	1204	0	0	0	98	0	0	0	0	0	9	164	27	75	3999	0	0	0	0	0	0	0	0	0
23.5	0	55	5	87	1	3	1788	89	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	969	53	0	2	0	0	0	4	4	0	14	0	0	0	62	3	0	0	1204	0	0	0	104	0	0	0	0	0	9	162	28	68	3999	0	0	0	0	0	0	0	0	0
24	0	56	11	80	2	4	1791	88	4	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	970	52	0	0	0	0	0	3	1	0	15	0	0	0	60	6	0	0	1204	0	0	0	105	0	0	0	0	0	10	165	23	68	3999	0	0	0	0	0	0	0	0	0
24.5	0	54	14	75	1	10	1782	97	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	955	57	0	1	0	0	0	5	3	0	22	0	0	0	62	7	0	0	1204	0	0	0	97	0	0	0	0	0	8	165	26	71	3999	0	0	0	0	0	0	0	0	0
25	0	51	11	74	3	6	1797	89	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	55	0	2	0	0	0	3	4	0	19	0	0	0	66	8	0	0	1204	0	0	0	98	1	0	0	0	0	11	167	19	70	3999	0	0	0	0	0	0	0	0	0
25.5	0	60	10	73	1	8	1807	99	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	939	52	0	2	0	0	0	1	7	0	18	0	0	0	56	9	0	0	1204	0	0	0	100	0	0	0	0	0	15	168	16	74	3999	0	0	0	0	0	0	0	0	0
26	0	64	13	71	2	3	1807	114	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	924	53	0	1	0	0	0	5	7	0	18	0	0	0	52	7	0	0	1204	0	0	0	101	0	0	0	0	0	11	161	26	68	3999	0	0	0	0	0	0	0	0	0
26.5	0	48	9	73	0	4	1762	119	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	940	63	0	1	0	0	0	0	10	0	18	0	0	0	68	8	0	0	1204	0	0	0	101	0	0	0	0	0	14	161	25	74	3999	0	0	0	0	0	0	0	0	0
27	0	53	10	73	2	8	1750	128	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	62	0	2	0	0	0	3	5	0	17	0	0	0	66	10	0	0	1204	0	0	0	101	0	0	0	0	0	11	159	28	72	3999	0	0	0	0	0	0	0	0	0
27.5	0	57	11	73	0	9	1753	126	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951	58	0	2	0	0	0	4	7	0	21	0	0	0	59	9	0	0	1204	0	0	0	96	1	0	0	0	0	19	163	18	71	3999	0	0	0	0	0	0	0	0	0
28	0	57	15	70	1	5	1757	125	6	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942	54	0	1	0	0	0	4	5	0	27	0	0	0	57	9	0	0	1204	0	0	0	90	2	0	0	0	0	17	160	22	64	3999	0	0	0	0	0	0	0	0	0
28.5	0	56	10	69	4	9	1748	139	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	951	57	0	2	0	0	0	2	11	0	11	0	0	0	57	6	0	0	1204	0	0	0	105	2	0	0	0	0	13	161	22	70	3999	0	0	0	0	0	0	0	0	0
29	0	56	13	73	2	3	1739	125	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	959	59	0	1	0	0	0	7	2	0	24	1	0	0	60	10	0	0	1204	0	0	0	93	1	0	0	0	0	16	156	26	65	3999	0	0	0	0	0	0	0	0	0
29.5	0	48	8	72	3	11	1733	137	6	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	59	0	0	0	0	0	3	5	0	23	0	0	0	66	12	0	0	1204	0	0	0	97	0	0	0	0	0	14	157	26	72	3999	0	0	0	0	0	0	0	0	0
30	0	45	10	66	4	8	1710	143	6	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	967	52	0	0	0	0	0	7	6	0	15	0	0	0	69	14	0	0	1204	0	0	0	104	1	0	0	0	0	15	156	25	63	3999	0	0	0	0	0	0	0	0	0
30.5	0	46	12	72	1	6	1715	142	1	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	950	59	0	1	0	0	0	4	5	0	21	0	0	0	73	10	0	0	1204	0	0	0	97	1	0	0	0	0	20	155	24	58	3999	0	0	0	0	0	0	0	0	0
31	0	59	16	75	2	9	1716	151	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	962	64	0	0	0	0	0	4	1	0	25	0	0	0	59	6	0	0	1204	0	0	0	95	0	0	0	0	0	16	154	28	67	3999	0	0	0	0	0	0	0	0	0
31.5	0	64	11	74	1	8	1743	142	4	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	67	0	1	0	0	0	3	9	0	13	0	0	0	52	5	0	0	1204	0	0	0	106	0	0	0	0	0	18	156	25	63	3999	0	0	0	0	0	0	0	0	0
32	0	48	14	73	2	7	1740	149	4	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	920	65	0	2	0	0	0	4	4	0	24	0	0	0	68	7	0	0	1204	0	0	0	94	0	0	0	0	0	12	151	35	64	3999	0	0	0	0	0	0	0	0	0
32.5	0	49	7	74	4	7	1774	150	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	897	65	0	2	0	0	0	2	9	0	18	0	0	0	64	6	0	0	1204	0	0	0	100	0	0	0	0	0	12	151	33	73	3999	0	0	0	0	0	0	0	0	0
