# time 'cAMP_on' 'free_Ca2+' 'bound_Ca2+!_' 'PKAa!_' 'PKAa?' 'CDK5!_' 'CK1p~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?' 'D34*~?' 'D75*~?' 'D137*~?'
 2.966667E+01 0 5 208 0 0 63 83 0 0 10 4 0 1859 1022 0 79 40 0 0 0 0 1062 119
 3.000000E+01 0 3 212 0 0 69 86 0 0 6 5 0 1845 1032 0 83 40 0 0 0 0 1072 123
 3.033333E+01 0 9 206 0 0 66 87 0 0 7 5 0 1836 1037 0 89 38 0 0 0 0 1075 127
 3.066667E+01 0 6 210 0 0 65 89 0 0 10 10 0 1832 1040 0 88 40 0 0 0 0 1080 128
 3.100000E+01 0 5 214 0 0 62 86 0 0 8 11 0 1855 1023 0 82 40 0 0 0 0 1063 122
 3.133333E+01 0 2 220 0 0 68 87 0 0 6 11 0 1845 1037 0 82 36 0 0 0 0 1073 118
 3.166667E+01 0 6 216 0 0 52 83 0 0 6 9 0 1845 1037 0 79 39 0 0 0 0 1076 118
 3.200000E+01 0 6 218 0 0 67 83 0 0 6 7 0 1848 1031 0 83 38 0 0 0 0 1069 121
 3.233333E+01 0 8 220 0 0 58 85 0 0 9 9 0 1845 1033 0 81 41 0 0 0 0 1074 122
 3.266667E+01 0 6 226 0 0 66 87 0 0 3 8 0 1865 1017 0 76 42 0 0 0 0 1059 118
 3.300000E+01 0 9 226 0 0 68 88 0 0 7 9 0 1858 1022 0 80 40 0 0 0 0 1062 120
 3.333333E+01 0 10 230 0 0 60 88 0 0 6 11 0 1850 1032 0 78 40 0 0 0 0 1072 118
 3.366667E+01 0 12 228 0 0 71 86 0 0 5 6 0 1838 1043 0 82 37 0 0 0 0 1080 119
 3.400000E+01 0 9 230 0 0 70 85 0 0 8 10 0 1855 1024 0 80 41 0 0 0 0 1065 121
 3.433333E+01 0 6 232 0 0 73 81 0 0 7 13 0 1847 1029 0 84 40 0 0 0 0 1069 124
 3.466667E+01 0 8 234 0 0 66 74 0 0 8 9 0 1828 1037 0 91 44 0 0 0 0 1081 135
 3.500000E+01 0 7 236 0 0 61 75 0 0 9 11 0 1812 1046 0 94 48 0 0 0 0 1094 142
 3.533333E+01 0 4 245 0 0 63 76 0 1 10 11 0 1835 1013 0 102 50 0 0 0 0 1063 152
 3.566667E+01 0 6 244 0 0 65 76 0 0 10 8 0 1810 1032 0 105 53 0 0 0 0 1085 158
 3.600000E+01 0 7 246 0 0 60 78 0 0 9 11 0 1813 1031 0 104 52 0 0 0 0 1083 156
 3.633333E+01 0 10 244 0 0 60 79 0 0 7 17 0 1807 1033 0 106 54 0 0 0 0 1087 160
 3.666667E+01 0 6 246 0 0 68 78 0 0 9 15 0 1817 1021 0 108 54 0 0 0 0 1075 162
 3.700000E+01 0 6 248 0 0 70 78 0 0 5 8 0 1818 1018 0 107 57 0 0 0 0 1075 164
 3.733333E+01 0 6 254 0 0 70 80 0 0 13 13 0 1821 1013 0 107 59 0 0 0 0 1072 166
 3.766667E+01 0 8 254 0 0 68 85 0 0 8 10 0 1828 1006 0 104 62 0 0 0 0 1068 166
 3.800000E+01 0 9 254 0 0 65 83 0 0 9 13 0 1833 1004 0 104 59 0 0 0 0 1063 163
 3.833333E+01 0 3 262 0 0 70 83 0 0 6 14 0 1840 999 0 102 59 0 0 0 0 1058 161
 3.866667E+01 0 7 264 0 0 69 85 0 0 3 12 0 1855 982 0 101 62 0 0 0 0 1044 163
 3.900000E+01 0 9 260 0 0 62 84 0 0 10 8 0 1861 971 0 108 60 0 0 0 0 1031 168
 3.933333E+01 0 11 262 0 0 71 86 0 0 11 15 0 1862 973 0 110 55 0 0 0 0 1028 165
 3.966667E+01 0 10 268 0 0 72 87 0 0 6 16 0 1879 950 0 116 55 0 0 0 0 1005 171
 4.000000E+01 0 10 268 0 0 80 85 0 0 11 14 0 1875 948 0 121 56 0 0 0 0 1004 177
 4.033333E+01 0 8 268 0 0 69 83 0 0 10 15 0 1899 931 0 120 50 0 0 0 0 981 170
 4.066667E+01 0 12 266 0 0 69 83 0 0 6 15 0 1896 930 0 123 51 0 0 0 0 981 174
 4.100000E+01 0 8 266 0 0 65 81 0 0 6 14 0 1890 930 0 123 57 0 0 0 0 987 180
 4.133333E+01 0 8 270 0 0 61 79 0 0 14 10 0 1899 921 0 123 57 0 0 0 0 978 180
 4.166667E+01 0 7 276 0 0 77 77 0 0 11 16 0 1885 935 0 126 54 0 0 0 0 989 180
 4.200000E+01 0 6 280 0 0 70 79 0 0 16 20 0 1886 927 0 131 56 0 0 0 0 983 187
 4.233333E+01 0 10 274 0 0 67 76 0 0 12 19 0 1895 920 0 130 55 0 0 0 0 975 185
 4.266667E+01 0 8 276 0 0 61 75 0 0 11 16 0 1881 926 0 134 59 0 0 0 0 985 193
 4.300000E+01 0 15 270 0 0 73 76 0 0 11 11 0 1874 927 0 137 62 0 0 0 0 989 199
 4.333333E+01 0 14 276 0 0 68 77 0 0 9 15 0 1858 937 0 144 61 0 0 0 0 998 205
 4.366667E+01 0 6 286 0 0 74 78 0 0 7 16 0 1853 937 0 147 63 0 0 0 0 1000 210
 4.400000E+01 0 9 280 0 0 70 76 0 0 16 12 0 1846 938 0 151 65 0 0 0 0 1003 216
 4.433333E+01 0 5 284 0 0 61 77 0 0 8 16 0 1854 932 0 145 69 0 0 0 0 1001 214
 4.466667E+01 0 8 282 0 0 69 77 0 0 6 15 0 1832 946 0 145 77 0 0 0 0 1023 222
 4.500000E+01 0 6 286 0 0 56 80 0 0 9 18 0 1830 948 0 151 71 0 0 0 0 1019 222
 4.533333E+01 0 11 280 0 0 66 78 0 0 13 14 0 1830 951 0 149 70 0 0 0 0 1021 219
 4.566667E+01 0 12 278 0 0 66 78 0 0 9 22 0 1825 953 0 145 77 0 0 0 0 1030 222
 4.600000E+01 0 6 284 0 0 59 75 0 0 18 20 0 1810 958 0 154 78 0 0 0 0 1036 232
 4.633333E+01 0 8 284 0 0 70 72 0 0 13 14 0 1827 945 0 152 76 0 0 0 0 1021 228
 4.666667E+01 0 8 288 0 0 72 70 0 0 10 19 0 1830 939 0 149 82 0 0 0 0 1021 231
 4.700000E+01 0 8 288 0 0 65 64 0 0 15 15 0 1825 938 0 155 82 0 0 0 0 1020 237
 4.733333E+01 0 10 286 0 0 62 68 0 0 15 12 0 1811 940 0 154 95 0 0 0 0 1035 249
 4.766667E+01 0 12 284 0 0 72 66 0 0 15 15 0 1802 938 0 165 95 0 0 0 0 1033 260
 4.800000E+01 0 6 294 0 0 71 69 0 0 10 17 0 1788 946 0 168 98 0 0 0 0 1044 266
 4.833333E+01 0 7 298 0 0 60 73 0 0 15 10 0 1793 932 0 173 102 0 0 0 0 1034 275
 4.866667E+01 0 10 298 0 0 55 72 0 0 18 11 0 1795 924 0 177 104 0 0 0 0 1028 281
 4.900000E+01 0 6 302 0 0 69 71 0 0 14 13 0 1785 927 0 181 107 0 0 0 0 1034 288
 4.933333E+01 0 11 298 0 0 68 77 0 0 15 14 0 1786 932 0 173 109 0 0 0 0 1041 282
