'cAMP_on' 'free_Ca2+' 'all_Ca2+' 'PKAa?' 'CDK5!_' 'CK1u~?' 'PP2Ap~?' 'PP2Aca_!' 'PP2C!_' 'PP2Ba~?' 'PDEp~?' 'DARPP_unphosph~?' 'Thr75~?' 'Thr34~?' 'Ser137~?' 'Thr75:Ser137~?' 'Thr34:Thr75~?' 'Thr34:Ser137~?' 'Thr34:Thr75:Ser137~?'
0 5 244 0 61 8 0 1 32 8 0 1370 750 0 570 310 0 0 0
0 8 241 0 65 8 0 1 40 8 0 1369 738 0 586 307 0 0 0
0 3 236 0 64 6 0 1 34 14 0 1356 747 0 583 314 0 0 0
0 4 233 0 52 5 0 1 33 6 0 1365 736 0 573 326 0 0 0
0 7 234 0 68 8 0 1 30 10 0 1354 743 0 587 316 0 0 0
0 6 232 0 65 10 0 0 38 7 0 1345 741 0 596 318 0 0 0
0 7 237 0 64 11 0 0 47 10 0 1333 746 0 589 332 0 0 0
0 8 238 0 59 11 0 0 36 6 0 1333 739 0 589 339 0 0 0
0 7 239 0 71 10 0 0 39 7 0 1336 732 0 589 343 0 0 0
0 13 239 0 61 10 0 0 35 7 0 1341 720 0 606 333 0 0 0
0 6 242 0 62 10 0 0 42 9 0 1333 719 0 609 339 0 0 0
0 11 245 0 64 11 0 0 31 12 0 1338 709 0 619 334 0 0 0
0 5 249 0 69 10 0 0 35 11 0 1303 735 0 632 330 0 0 0
0 7 255 0 64 8 0 0 35 11 0 1311 721 0 634 334 0 0 0
0 10 248 0 57 9 0 0 31 8 0 1298 725 0 638 339 0 0 0
0 8 250 0 56 8 0 0 38 11 0 1306 708 0 641 345 0 0 0
0 12 254 0 61 14 0 0 44 12 0 1308 697 0 647 348 0 0 0
0 8 250 0 62 18 0 0 41 12 0 1292 705 0 640 363 0 0 0
0 5 247 0 74 18 0 0 35 12 0 1305 681 0 661 353 0 0 0
0 6 252 0 62 16 0 0 34 11 0 1271 705 0 663 361 0 0 0
0 9 255 0 61 14 0 0 40 15 0 1274 690 0 675 361 0 0 0
0 8 247 0 74 15 0 1 42 7 0 1277 684 0 667 372 0 0 0
0 7 245 0 64 13 0 0 42 7 0 1257 691 0 679 373 0 0 0
0 7 245 0 69 10 0 0 41 9 0 1236 707 0 690 367 0 0 0
0 5 249 0 62 10 0 0 42 7 0 1233 702 0 691 374 0 0 0
0 13 251 0 80 16 0 0 42 8 0 1226 696 0 690 388 0 0 0
0 8 250 0 62 14 0 0 39 7 0 1198 710 0 699 393 0 0 0
0 13 249 0 63 17 0 0 43 16 0 1200 697 0 719 384 0 0 0
0 6 244 0 61 18 0 0 43 11 0 1194 695 0 720 391 0 0 0
0 8 246 0 57 19 0 0 43 7 0 1177 694 0 735 394 0 0 0
0 11 247 0 62 16 0 0 40 9 0 1174 683 0 751 392 0 0 0
0 12 250 0 61 12 0 0 47 6 0 1184 666 0 744 406 0 0 0
0 5 251 0 65 14 0 0 42 11 0 1186 653 0 742 419 0 0 0
0 12 254 0 70 10 0 0 44 15 0 1180 649 0 760 411 0 0 0
0 8 258 0 53 11 0 0 45 10 0 1152 668 0 761 419 0 0 0
0 8 258 0 53 12 0 0 42 12 0 1155 663 0 767 415 0 0 0
0 10 256 0 77 10 0 0 42 8 0 1163 643 0 771 423 0 0 0
0 10 252 0 64 11 0 0 43 9 0 1149 647 0 774 430 0 0 0
0 12 254 0 59 13 0 0 33 12 0 1154 630 0 784 432 0 0 0
0 6 252 0 71 10 0 0 37 10 0 1154 618 0 804 424 0 0 0
0 9 253 0 59 14 0 0 43 12 0 1137 627 0 819 417 0 0 0
0 7 257 0 71 12 0 0 44 13 0 1127 623 0 832 418 0 0 0
0 6 256 0 60 7 0 0 45 11 0 1116 626 0 838 420 0 0 0
0 11 255 0 59 5 0 0 44 13 0 1127 609 0 836 428 0 0 0
0 9 259 0 53 7 0 0 41 12 0 1118 615 0 846 421 0 0 0
0 6 258 0 66 14 0 0 33 21 0 1106 620 0 836 438 0 0 0
0 7 259 0 69 15 0 0 46 8 0 1104 614 0 844 438 0 0 0
0 7 263 0 60 17 0 0 47 18 0 1109 605 0 829 457 0 0 0
0 8 264 0 65 18 0 0 40 12 0 1081 622 0 841 456 0 0 0
0 4 266 0 64 22 0 0 46 11 0 1050 637 0 849 464 0 0 0
0 15 269 0 68 22 0 0 47 11 0 1030 644 0 869 457 0 0 0
0 10 270 0 63 17 0 0 47 15 0 1021 635 0 890 454 0 0 0
0 9 270 0 56 18 0 1 44 14 0 1041 604 0 889 466 0 0 0
0 11 272 0 73 18 0 1 43 12 0 1036 598 0 908 458 0 0 0
0 7 275 0 68 20 0 0 39 14 0 1033 592 0 912 463 0 0 0
0 7 277 0 63 17 0 0 48 12 0 1025 586 0 920 469 0 0 0
0 13 276 0 55 20 0 1 41 16 0 1030 568 0 922 480 0 0 0
0 12 273 0 60 19 0 1 48 11 0 1021 564 0 940 475 0 0 0
0 10 273 0 63 15 0 1 49 16 0 1026 545 0 950 479 0 0 0
0 6 273 0 61 10 0 1 37 9 0 1038 519 0 955 488 0 0 0
0 8 273 0 69 12 0 1 53 8 0 1022 529 0 969 480 0 0 0
0 11 267 0 62 13 0 0 55 11 0 1017 530 0 962 491 0 0 0
0 8 258 0 70 11 0 0 41 10 0 983 554 0 961 502 0 0 0
0 3 261 0 57 12 0 0 41 16 0 994 539 0 957 510 0 0 0
0 7 256 0 64 14 0 1 47 15 0 995 529 0 957 519 0 0 0
0 9 259 0 71 15 0 2 47 8 0 977 537 0 978 508 0 0 0
0 0 257 0 67 15 0 1 47 14 0 962 542 0 976 520 0 0 0
0 7 255 0 60 16 0 2 50 12 0 967 527 0 986 520 0 0 0
0 10 258 0 72 14 0 2 54 10 0 954 532 0 992 522 0 0 0
0 7 262 0 58 16 0 1 55 13 0 955 528 0 998 519 0 0 0
0 5 262 0 67 11 0 1 51 13 0 954 523 0 999 524 0 0 0
0 13 267 0 70 14 0 0 41 8 0 940 533 0 1014 513 0 0 0
0 12 270 0 63 11 0 0 50 10 0 946 523 0 1017 514 0 0 0
0 8 272 0 67 11 0 0 44 12 0 934 524 0 1021 521 0 0 0
0 9 269 0 60 11 0 0 42 13 0 934 519 0 1038 509 0 0 0
0 12 268 0 67 14 0 0 51 10 0 925 520 0 1034 521 0 0 0
0 3 267 0 65 17 0 0 49 15 0 918 512 0 1036 534 0 0 0
0 8 265 0 67 18 0 1 52 10 0 903 523 0 1037 537 0 0 0
0 5 272 0 64 16 0 1 49 11 0 895 517 0 1045 543 0 0 0
0 8 276 0 64 16 0 0 43 14 0 888 507 0 1057 548 0 0 0
0 10 284 0 54 13 0 0 54 17 0 881 499 0 1071 549 0 0 0
0 6 280 0 63 10 0 0 48 17 0 871 498 0 1079 552 0 0 0
0 8 276 0 68 15 0 0 43 13 0 870 494 0 1065 571 0 0 0
0 7 281 0 62 22 0 0 39 22 0 871 485 0 1051 593 0 0 0
0 8 284 0 58 21 0 0 54 14 0 873 471 0 1076 580 0 0 0
0 12 280 0 66 17 0 0 46 11 0 874 454 0 1074 598 0 0 0
0 9 275 0 52 16 0 0 47 11 0 871 447 0 1076 606 0 0 0
0 8 276 0 66 15 0 0 49 7 0 869 444 0 1082 605 0 0 0
0 10 280 0 55 9 0 0 52 11 0 870 430 0 1091 609 0 0 0
0 8 277 0 65 10 0 1 49 16 0 866 429 0 1106 599 0 0 0
0 13 276 0 69 12 0 1 52 6 0 859 426 0 1130 585 0 0 0
0 7 277 0 57 15 0 0 60 13 0 852 429 0 1129 590 0 0 0
0 11 279 0 60 16 0 0 49 13 0 847 426 0 1117 610 0 0 0
0 7 277 0 72 18 0 0 50 20 0 852 410 0 1132 606 0 0 0
0 8 280 0 66 20 0 0 49 19 0 843 412 0 1148 597 0 0 0
0 9 275 0 65 16 0 0 50 7 0 839 404 0 1149 608 0 0 0
0 11 277 0 68 17 0 0 51 14 0 844 387 0 1164 605 0 0 0
0 9 277 0 49 16 0 0 55 12 0 833 388 0 1171 608 0 0 0
0 6 274 0 65 15 0 0 47 16 0 824 388 0 1174 614 0 0 0
0 15 277 0 61 13 0 0 56 13 0 814 386 0 1161 639 0 0 0
0 17 273 0 71 14 0 0 50 12 0 814 383 0 1187 616 0 0 0
0 10 270 0 67 13 0 0 52 15 0 792 400 0 1185 623 0 0 0
0 6 266 0 73 10 0 0 49 11 0 785 403 0 1189 623 0 0 0
0 12 268 0 62 10 0 0 53 13 0 779 406 0 1192 623 0 0 0
0 10 264 0 70 19 0 0 49 16 0 777 403 0 1189 631 0 0 0
0 12 256 0 69 16 0 0 54 10 0 764 399 0 1204 633 0 0 0
0 6 250 0 62 14 0 0 53 11 0 757 392 0 1219 632 0 0 0
0 11 255 0 63 15 0 0 52 13 0 757 383 0 1217 643 0 0 0
0 7 257 0 69 18 0 0 51 13 0 752 379 0 1210 659 0 0 0
0 13 255 0 68 13 0 0 42 10 0 750 375 0 1218 657 0 0 0
0 6 256 0 56 12 0 0 52 10 0 743 377 0 1212 668 0 0 0
0 12 258 0 57 13 0 0 53 9 0 731 382 0 1222 665 0 0 0
0 8 258 0 64 12 0 0 51 8 0 726 381 0 1238 655 0 0 0
0 5 261 0 59 13 0 0 56 13 0 715 385 0 1246 654 0 0 0
0 10 258 0 59 16 0 0 45 12 0 716 381 0 1249 654 0 0 0
0 5 258 0 70 19 0 1 48 10 0 713 377 0 1256 654 0 0 0
0 10 256 0 60 16 0 2 54 11 0 718 364 0 1264 654 0 0 0
0 9 257 0 69 17 0 2 55 12 0 727 348 0 1257 668 0 0 0
0 5 257 0 59 15 0 2 60 15 0 712 355 0 1255 678 0 0 0
0 13 255 0 63 15 0 2 49 12 0 704 358 0 1268 670 0 0 0
0 8 259 0 63 13 0 1 55 17 0 699 360 0 1273 668 0 0 0
0 6 262 0 68 16 0 2 57 8 0 703 346 0 1267 684 0 0 0
0 12 261 0 54 17 0 1 53 9 0 686 354 0 1279 681 0 0 0
0 13 260 0 68 17 0 1 47 7 0 678 355 0 1265 702 0 0 0
0 5 257 0 58 11 0 0 52 13 0 662 368 0 1253 717 0 0 0
0 13 255 0 61 12 0 0 55 12 0 667 356 0 1261 716 0 0 0
0 9 255 0 67 13 0 0 50 14 0 662 356 0 1269 713 0 0 0
0 5 253 0 47 14 0 0 55 14 0 652 359 0 1272 717 0 0 0
0 15 253 0 72 14 0 0 52 7 0 638 363 0 1279 720 0 0 0
0 4 256 0 69 11 0 0 50 18 0 630 366 0 1279 725 0 0 0
0 12 252 0 65 13 0 0 50 11 0 646 348 0 1291 715 0 0 0
0 5 255 0 73 12 0 0 55 11 0 636 355 0 1296 713 0 0 0
0 6 250 0 75 11 0 0 49 10 0 634 355 0 1298 713 0 0 0
0 7 246 0 60 13 0 1 51 6 0 625 361 0 1283 731 0 0 0
0 4 245 0 66 8 0 1 49 7 0 627 357 0 1283 733 0 0 0
0 8 244 0 60 12 0 0 50 13 0 617 365 0 1289 729 0 0 0
0 12 244 0 61 11 0 0 52 7 0 626 351 0 1297 726 0 0 0
0 10 246 0 72 10 0 0 48 9 0 624 349 0 1296 731 0 0 0
0 7 241 0 54 11 0 0 51 12 0 621 346 0 1289 744 0 0 0
0 9 241 0 60 13 0 0 58 9 0 620 344 0 1292 744 0 0 0
0 8 240 0 61 19 0 0 49 16 0 600 357 0 1303 740 0 0 0
0 7 245 0 64 20 0 0 53 14 0 597 351 0 1313 739 0 0 0
0 9 247 0 67 15 0 0 41 10 0 593 346 0 1339 722 0 0 0
0 5 248 0 61 15 0 1 48 9 0 603 331 0 1328 738 0 0 0
0 5 243 0 65 19 0 0 59 11 0 579 343 0 1336 742 0 0 0
0 8 244 0 56 16 0 0 57 9 0 584 329 0 1331 756 0 0 0
0 9 241 0 52 13 0 2 48 10 0 575 330 0 1335 760 0 0 0
0 8 244 0 61 13 0 2 46 7 0 583 314 0 1337 766 0 0 0
0 8 245 0 68 11 0 1 51 10 0 595 297 0 1346 762 0 0 0
0 11 246 0 60 14 0 1 57 9 0 582 306 0 1362 750 0 0 0
0 9 245 0 65 12 0 0 51 9 0 577 303 0 1372 748 0 0 0
0 6 242 0 69 10 0 0 51 9 0 577 299 0 1390 734 0 0 0
0 8 248 0 62 9 0 0 55 12 0 569 302 0 1380 749 0 0 0
0 4 248 0 56 9 0 0 47 9 0 565 302 0 1395 738 0 0 0
0 5 251 0 61 9 0 0 59 15 0 558 302 0 1384 756 0 0 0
0 8 254 0 61 6 0 0 58 16 0 547 311 0 1397 745 0 0 0
0 5 251 0 56 8 0 0 56 11 0 543 313 0 1383 761 0 0 0
0 9 247 0 57 5 0 0 53 13 0 543 308 0 1393 756 0 0 0
0 7 249 0 62 9 0 0 50 13 0 544 305 0 1409 742 0 0 0
0 9 251 0 63 13 0 0 53 12 0 552 294 0 1401 753 0 0 0
0 6 249 0 66 12 0 1 50 10 0 551 287 0 1427 735 0 0 0
0 15 250 0 63 12 0 1 64 11 0 538 295 0 1424 743 0 0 0
0 7 254 0 62 11 0 1 55 10 0 529 301 0 1435 735 0 0 0
0 8 249 0 70 7 0 3 60 12 0 525 300 0 1452 723 0 0 0
0 5 251 0 57 10 0 4 58 13 0 521 299 0 1431 749 0 0 0
0 7 244 0 67 11 0 1 57 7 0 521 297 0 1442 740 0 0 0
0 5 240 0 61 15 0 1 53 8 0 515 292 0 1452 741 0 0 0
0 9 238 0 61 14 0 1 56 10 0 535 265 0 1454 746 0 0 0
0 5 240 0 62 20 0 1 49 10 0 524 266 0 1467 743 0 0 0
0 10 242 0 67 8 0 0 52 5 0 515 268 0 1457 760 0 0 0
0 6 242 0 58 8 0 0 60 15 0 514 266 0 1461 759 0 0 0
0 9 245 0 76 10 0 0 56 11 0 519 258 0 1475 748 0 0 0
0 5 247 0 65 7 0 0 61 13 0 521 254 0 1470 755 0 0 0
0 6 254 0 63 8 0 0 57 14 0 521 252 0 1471 756 0 0 0
0 6 256 0 61 7 0 0 52 12 0 512 261 0 1476 751 0 0 0
0 8 250 0 68 8 0 0 51 15 0 506 262 0 1471 761 0 0 0
0 7 247 0 59 11 0 0 56 14 0 517 247 0 1469 767 0 0 0
0 5 245 0 63 10 0 0 53 11 0 511 247 0 1483 759 0 0 0
0 9 245 0 61 11 0 0 53 7 0 511 243 0 1486 760 0 0 0
0 7 246 0 69 10 0 1 57 11 0 500 248 0 1466 786 0 0 0
0 6 246 0 55 12 0 2 58 12 0 485 261 0 1457 797 0 0 0
0 7 241 0 61 11 0 0 52 11 0 483 258 0 1458 801 0 0 0
0 9 241 0 59 14 0 0 61 12 0 481 256 0 1461 802 0 0 0
0 9 247 0 68 9 0 0 52 4 0 478 253 0 1464 805 0 0 0
0 3 243 0 68 8 0 0 56 9 0 468 262 0 1447 823 0 0 0
0 5 245 0 61 7 0 0 58 12 0 481 247 0 1434 838 0 0 0
0 11 241 0 62 10 0 0 59 9 0 482 245 0 1432 841 0 0 0
0 15 239 0 59 12 0 0 54 6 0 476 247 0 1435 842 0 0 0
0 6 243 0 54 9 0 1 57 11 0 485 232 0 1433 850 0 0 0
0 6 246 0 71 7 0 0 57 9 0 488 227 0 1433 852 0 0 0
0 3 247 0 62 9 0 0 55 12 0 474 239 0 1437 850 0 0 0
0 11 250 0 73 9 0 1 62 10 0 472 240 0 1443 845 0 0 0
0 8 250 0 59 8 0 0 59 8 0 465 240 0 1455 840 0 0 0
0 5 251 0 57 7 0 2 55 13 0 460 241 0 1449 850 0 0 0
0 7 248 0 60 9 0 1 52 10 0 464 233 0 1437 866 0 0 0
0 4 249 0 74 11 0 1 58 13 0 460 230 0 1445 865 0 0 0
0 12 252 0 57 8 0 0 58 9 0 465 223 0 1449 863 0 0 0
0 9 253 0 68 9 0 0 59 13 0 472 211 0 1466 851 0 0 0
0 3 253 0 68 13 0 0 50 10 0 452 225 0 1476 847 0 0 0
0 7 251 0 65 11 0 0 52 12 0 442 229 0 1499 830 0 0 0
